,p3401,p3407,p3408,p3409,p3410,p3411,p3412,p3413,p3414,p3415,p3416,p3417,p3418,p3419,p3420,p3421,p3422,p3501,p3502,p3503,p3504,p3520,p3521,p3522,p3523,p3524,p3526,p3527,p3528,p3529,p3530,p3531,p3532
,Palatine/Barrington,Melrose Park/Maywood,Oak Park/Cicero,LaGrange/Burbank,Orland Park/Lemont,Oak Lawn/Blue Island,Oak Forest/Country Club Hills,Calumet City/Harvey,Chicago Heights/Park Forest,Arlington Heights/Wheeling,Winnetka/Northbrook,Hoffman Estates/Streamwood,Schaumburg,Mount Prospect/Elk Grove Village,Park Ridge/Des Plaines,Evanston/Skokie,Elmwood Park/Franklin Park,Chicago--Uptown/Rogers Park,Chicago--Lake View/Lincoln Park,Chicago--Lincoln Square/North Center,Chicago--Irving Park/Albany Park,Chicago--Portage Park/Jefferson Park,Chicago--Austin/Belmont Cragin,Chicago--Logan Square/Avondale,Chicago--Humboldt Park/Garfield Park,Chicago--West Town/Near West Side,Chicago--Bridgeport/Brighton Park,Chicago--Gage Park/West Lawn,Chicago--Englewood/Greater Grand Crossing,Chicago--Bronzeville/Hyde Park,Chicago--Beverly/Morgan Park,Chicago--Auburn Gresham/Chatham,Chicago--South Chicago/West Pullman
1997Q1,88.49,90.57,82.79,84.80,92.41,92.73,93.22,91.25,90.19,85.81,84.11,90.86,88.25,89.87,85.50,82.99,85.77,67.12,73.25,72.37,77.92,78.94,77.52,70.66,80.47,70.59,79.33,87.91,85.35,61.43,81.03,80.05,83.57
1997Q2,88.13,89.99,85.68,87.99,92.00,92.76,94.71,92.74,93.97,89.36,84.73,91.24,88.75,90.35,87.47,85.52,89.58,67.97,72.19,70.38,76.14,83.27,82.31,72.23,85.25,69.93,81.95,89.50,85.96,71.74,85.65,84.26,90.23
1997Q3,88.68,90.15,86.66,89.79,93.79,93.61,95.50,93.04,93.90,90.09,86.22,91.03,88.94,90.34,87.57,86.06,90.35,71.74,74.18,73.18,78.04,84.14,84.94,73.59,91.31,69.54,85.55,89.96,85.74,76.28,87.82,86.58,90.52
1997Q4,88.40,91.17,86.02,90.95,94.16,94.04,95.45,93.27,94.16,90.68,86.71,91.20,88.70,90.69,87.47,86.03,90.42,73.00,74.97,74.00,78.55,84.20,84.89,72.62,92.20,68.38,87.67,89.89,87.13,77.34,89.21,87.52,89.70
1998Q1,88.87,90.60,86.72,91.57,94.46,94.37,95.92,93.51,94.97,91.60,87.73,91.38,88.89,91.14,88.26,86.51,90.78,74.88,76.90,76.72,79.43,85.26,86.68,73.83,95.23,68.98,90.61,90.33,89.14,84.40,91.15,89.54,90.65
1998Q2,89.73,91.57,86.53,92.23,95.49,94.98,96.19,94.00,94.48,91.27,90.91,92.18,89.57,91.92,89.32,88.16,91.29,77.80,82.58,80.40,81.84,86.24,87.46,77.59,97.53,73.94,92.84,91.02,90.02,83.64,91.96,91.05,89.51
1998Q3,91.38,92.72,87.18,94.02,95.49,95.88,95.99,94.92,96.66,92.66,93.15,93.01,90.86,93.12,91.56,89.61,91.68,80.78,84.65,83.60,83.63,87.70,87.52,80.68,96.44,78.67,93.20,92.17,92.92,86.80,93.00,91.12,92.54
1998Q4,93.24,92.45,88.62,95.53,97.10,97.08,96.96,95.54,97.45,92.35,95.23,94.04,91.46,93.45,93.07,91.51,93.11,82.39,88.09,84.10,86.49,89.63,88.71,86.57,96.53,86.09,92.19,93.70,94.36,91.98,94.18,91.40,95.24
1999Q1,93.74,93.91,90.06,96.31,97.66,97.91,95.57,96.31,98.28,92.78,95.95,95.05,92.62,93.63,93.92,92.57,94.11,83.00,89.32,85.56,87.27,91.13,89.85,89.30,99.08,90.33,93.99,94.13,93.72,90.67,94.74,92.30,97.32
1999Q2,96.54,95.83,93.56,98.74,97.90,99.94,96.79,96.69,98.87,95.58,97.20,96.21,94.91,95.60,95.69,94.62,95.62,88.46,89.97,90.03,91.78,93.39,92.43,93.47,98.08,89.97,95.30,95.74,96.56,94.03,95.82,95.14,99.90
1999Q3,97.77,96.81,96.05,98.46,99.07,100.54,98.17,97.61,99.22,96.82,98.17,97.52,97.02,96.97,97.37,97.85,97.16,91.38,95.21,93.08,95.40,95.76,94.67,95.04,98.83,93.45,97.14,97.20,96.22,95.90,97.11,96.79,97.97
1999Q4,99.16,98.90,98.78,98.68,99.36,100.10,98.63,98.80,99.21,99.26,98.84,99.27,98.90,98.32,99.11,98.45,99.06,95.72,97.27,95.83,97.93,98.37,97.91,97.78,100.67,96.36,99.34,98.68,97.43,96.30,98.52,98.87,100.10
2000Q1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2000Q2,101.89,102.33,103.63,102.29,103.13,101.25,101.56,101.98,101.58,103.38,102.08,102.63,103.03,103.44,103.62,103.97,103.67,103.16,103.11,104.98,103.05,104.23,102.30,105.13,104.23,110.24,102.07,101.72,102.33,101.08,102.06,101.45,101.00
2000Q3,105.48,105.85,107.20,104.26,105.05,102.74,103.33,103.84,103.15,106.63,106.07,105.59,105.59,107.88,107.17,107.36,108.06,106.99,104.13,109.72,107.49,108.98,107.80,109.89,108.29,117.01,106.06,104.93,103.39,104.93,103.54,101.48,102.26
2000Q4,106.61,107.38,110.10,105.61,106.21,105.80,105.57,105.55,105.04,109.23,107.99,107.31,108.01,110.26,110.06,110.07,111.28,108.66,108.03,114.35,111.72,113.27,110.94,113.13,112.05,122.99,110.72,108.75,105.91,109.46,104.49,103.60,102.86
2001Q1,107.83,108.58,112.35,106.02,108.28,107.58,108.00,105.75,104.99,111.17,109.51,108.81,110.19,112.13,111.84,111.85,113.58,110.84,109.99,115.80,114.47,115.56,112.33,116.83,114.82,128.08,111.97,110.77,107.83,108.53,106.03,105.18,104.35
2001Q2,111.20,112.90,117.46,109.70,111.53,109.22,110.21,107.14,107.49,114.80,113.07,112.78,114.79,116.96,115.27,115.04,117.48,113.42,114.00,120.09,119.58,120.74,118.02,122.23,121.14,130.34,113.99,116.55,107.61,111.48,109.17,105.55,106.85
2001Q3,114.70,116.18,121.50,112.22,114.08,111.24,111.87,108.72,108.67,119.24,116.16,116.60,119.62,120.60,119.00,118.74,120.80,116.43,116.78,122.69,121.36,125.22,121.54,128.71,122.42,133.28,119.83,120.82,112.59,112.87,111.54,108.76,111.54
2001Q4,117.79,118.46,124.47,113.68,116.43,112.66,113.11,109.32,109.38,120.81,117.42,119.04,121.81,122.59,120.77,120.76,122.75,119.95,116.74,123.00,123.96,127.44,125.36,134.26,127.73,134.56,122.96,123.93,116.01,113.58,113.60,109.98,114.10
2002Q1,119.29,119.86,127.64,114.89,118.14,113.02,113.37,110.80,111.15,122.37,118.51,121.40,123.61,124.19,122.38,123.19,125.29,124.03,116.21,124.14,126.04,129.87,128.41,136.90,133.53,133.89,125.62,125.31,119.30,117.34,116.44,111.41,117.04
2002Q2,122.38,122.59,131.71,116.66,120.40,116.70,116.23,112.31,111.37,125.66,121.53,124.91,126.39,127.16,124.96,125.94,128.49,133.44,117.97,126.53,128.44,133.16,132.09,142.89,138.57,138.42,132.30,128.81,124.50,124.50,119.70,115.41,118.75
2002Q3,124.49,126.67,135.96,119.72,123.94,120.52,118.07,114.01,113.62,128.21,122.55,127.40,129.33,130.71,128.63,130.50,132.73,136.59,120.23,132.75,132.08,136.82,135.88,148.30,151.66,143.47,135.13,133.94,129.23,126.42,123.66,118.80,121.09
2002Q4,126.01,128.89,139.73,122.54,126.53,122.23,119.73,115.71,115.38,130.91,124.64,129.58,132.01,133.14,131.43,133.89,136.88,139.29,121.58,136.19,134.46,140.18,140.99,148.51,157.85,148.39,143.19,138.09,133.96,130.42,127.38,122.95,123.31
2003Q1,128.13,132.43,142.67,124.92,128.52,125.52,121.39,117.30,117.07,132.88,126.77,131.30,134.28,135.18,133.72,135.23,138.21,142.20,124.31,140.13,136.34,142.35,144.00,152.55,163.05,153.24,148.04,142.71,135.41,133.47,129.08,126.50,124.72
2003Q2,131.11,135.25,147.71,129.19,133.12,128.54,124.47,119.22,119.31,135.56,128.46,135.09,137.84,138.16,137.56,137.46,141.97,144.61,127.15,144.08,140.96,145.49,149.47,154.80,167.58,157.42,152.50,148.49,139.78,136.99,133.15,128.76,126.65
2003Q3,134.64,138.77,153.29,132.73,136.42,132.30,128.81,120.69,121.60,139.50,131.74,138.51,141.18,139.96,140.57,138.91,146.58,148.73,129.61,147.47,143.95,148.95,155.13,155.04,172.11,163.04,162.23,153.90,143.71,142.30,139.23,132.15,130.64
2003Q4,136.56,142.22,157.87,136.10,138.61,135.47,131.60,122.93,123.06,141.02,132.15,140.91,142.96,141.52,142.56,140.48,149.49,149.93,132.12,149.73,147.51,153.68,158.04,156.68,179.95,166.57,167.51,159.45,148.05,145.62,141.32,134.91,135.58
2004Q1,139.14,144.73,160.64,138.48,141.40,137.36,133.88,124.85,124.74,142.74,134.12,143.51,144.71,143.38,144.91,142.09,153.35,151.23,134.49,152.61,151.30,157.46,161.88,162.58,190.97,169.06,174.89,163.57,154.53,150.60,144.20,139.91,140.11
2004Q2,143.74,148.49,165.18,142.45,145.29,142.05,137.77,128.07,128.40,146.42,137.23,147.32,147.88,146.77,147.66,146.64,158.45,153.19,139.18,156.57,156.39,164.20,166.28,172.63,202.91,176.67,186.58,169.42,161.43,157.15,149.16,146.75,148.49
2004Q3,147.85,152.35,170.18,147.76,150.11,145.23,142.12,131.33,132.00,150.40,139.53,151.37,151.33,150.72,151.51,152.48,162.66,158.40,144.41,163.15,161.82,170.88,173.53,182.98,209.18,181.34,190.87,176.07,173.06,167.13,152.53,154.08,154.15
2004Q4,150.47,155.27,173.49,150.68,154.69,149.94,145.08,134.80,135.06,153.14,141.81,154.59,154.53,152.75,154.30,154.98,167.12,162.04,145.44,168.80,167.12,174.72,180.96,190.03,217.83,184.16,201.50,181.92,183.88,178.60,158.78,160.89,157.56
2005Q1,152.74,159.08,176.63,153.48,157.33,152.60,147.88,138.32,137.72,155.21,144.40,156.21,156.97,155.62,158.35,157.87,170.73,164.13,144.76,170.69,171.08,177.46,185.75,190.84,230.29,186.26,206.06,185.96,190.52,182.21,162.17,165.04,162.96
2005Q2,156.84,164.38,183.05,157.37,161.81,156.42,151.38,141.64,140.36,160.47,149.53,159.31,162.03,161.73,165.08,162.33,175.40,168.17,147.65,178.40,175.88,181.50,193.44,192.54,239.09,191.40,215.26,192.21,200.40,192.43,167.78,171.13,167.99
2005Q3,160.67,169.33,187.65,161.29,168.23,161.98,156.85,145.64,143.49,164.14,158.04,162.02,167.57,166.61,173.46,168.84,181.86,177.27,150.20,182.45,182.77,187.49,198.27,200.49,249.35,192.52,227.05,198.34,207.69,199.65,173.83,175.43,172.68
2005Q4,162.91,173.78,193.45,166.20,172.01,164.45,160.47,148.36,146.17,167.58,163.54,164.73,170.93,172.08,179.29,173.50,185.45,181.49,154.04,185.59,185.98,191.77,204.09,205.83,263.27,198.13,236.38,204.19,215.07,202.95,177.92,181.67,180.04
2006Q1,164.41,175.73,196.80,169.81,174.86,167.44,164.20,151.06,149.10,170.67,167.04,167.20,173.02,174.57,182.53,176.05,187.01,183.94,158.92,190.78,188.19,195.17,209.29,213.04,268.73,202.60,245.68,208.41,222.57,213.58,182.97,187.13,183.96
2006Q2,167.55,179.29,200.43,174.04,180.06,171.02,167.03,154.88,152.98,172.89,171.70,169.83,177.35,178.60,186.21,181.70,191.22,190.83,159.36,194.69,192.35,199.81,215.94,220.04,275.53,206.90,257.54,213.56,231.17,220.66,187.14,190.61,191.27
2006Q3,169.82,182.11,204.57,177.55,181.84,174.01,169.69,158.63,155.00,177.81,174.43,172.67,179.35,182.00,188.10,184.60,192.85,190.65,159.69,197.76,194.61,202.13,223.17,226.00,283.55,219.56,266.08,218.24,238.40,224.81,191.31,194.93,196.17
2006Q4,172.26,184.28,205.01,178.80,185.15,177.01,172.39,160.84,157.60,180.15,176.99,174.30,180.99,183.58,188.91,186.88,194.90,192.69,158.82,202.35,197.25,203.35,226.39,229.05,283.96,225.40,267.43,219.79,241.33,235.79,195.24,195.61,199.26
2007Q1,174.08,185.59,205.75,181.05,186.28,178.04,174.62,162.38,159.00,179.60,177.44,174.62,182.95,183.15,189.47,189.32,197.11,196.53,158.67,203.88,197.90,203.85,230.11,231.53,289.22,231.90,268.94,219.18,247.19,241.92,196.33,199.08,203.20
2007Q2,174.09,186.89,204.86,181.75,186.68,179.32,177.14,162.89,160.60,180.83,179.09,174.90,182.60,181.81,189.30,187.20,195.33,195.20,159.48,205.76,197.54,201.55,230.48,231.06,292.22,236.48,259.90,216.52,247.96,246.08,197.23,202.06,202.35
2007Q3,174.09,184.88,202.03,181.64,186.42,177.94,175.86,160.33,161.68,179.42,179.06,173.77,182.28,180.08,186.52,184.89,194.12,197.01,164.60,209.38,194.98,200.17,226.98,224.98,288.44,233.82,249.72,212.09,246.19,246.41,194.31,201.77,201.48
2007Q4,172.13,180.35,197.66,179.06,184.39,175.24,172.99,155.93,158.44,177.29,178.61,172.16,181.41,178.04,182.37,181.40,191.40,193.00,165.56,207.44,194.87,195.08,222.41,221.69,276.96,229.18,242.70,207.45,242.10,244.59,191.22,197.43,197.17
2008Q1,170.52,177.95,193.12,174.70,183.17,173.26,170.19,151.23,156.26,177.57,178.73,169.15,178.53,175.29,178.37,178.44,185.99,189.99,169.59,206.31,192.06,189.48,218.53,222.28,278.83,226.89,242.55,203.52,240.75,240.22,190.77,193.90,192.09
