Number,Sub Market,Change since 2000,Change Bubble Era Peak to Current,Recovery from Bottom,Year-over-year change
p3401,Palatine/Barrington,48.1%,-14.9%,22.3%,2.2%
p3407,Melrose Park/Maywood,41.6%,-24.1%,44.3%,9.1%
p3408,Oak Park/Cicero,67.4%,-18.6%,62.6%,9.2%
p3409,LaGrange/Burbank,43.7%,-20.9%,27.6%,2.8%
p3410,Orland Park/Lemont,54.2%,-17.4%,14.7%,1.8%
p3411,Oak Lawn/Blue Island,28.9%,-28.0%,25.0%,5.4%
p3412,Oak Forest/Country Club Hills,26.3%,-28.7%,25.7%,7.1%
p3413,Calumet City/Harvey,-14.0%,-47.1%,31.2%,6.4%
p3414,Chicago Heights/Park Forest,-3.9%,-40.5%,16.6%,5.8%
p3415,Arlington Heights/Wheeling,55.4%,-14.0%,29.0%,1.6%
p3416,Winnetka/Northbrook,64.0%,-8.4%,20.6%,1.3%
p3417,Hoffman Estates/Streamwood,39.6%,-20.3%,35.3%,4.5%
p3418,Schaumburg,65.5%,-9.6%,29.5%,5.4%
p3419,Mount Prospect/Elk Grove Village,54.6%,-15.8%,26.3%,4.2%
p3420,Park Ridge/Des Plaines,54.2%,-18.6%,32.7%,5.4%
p3421,Evanston/Skokie,55.9%,-17.7%,30.8%,6.9%
p3422,Elmwood Park/Franklin Park,42.7%,-27.5%,45.9%,7.0%
p3501,Chicago--Uptown/Rogers Park,83.5%,-6.5%,32.3%,1.4%
p3502,Chicago--Lake View/Lincoln Park,79.1%,3.1%,23.7%,1.6%
p3503,Chicago--Lincoln Square/North Center,122.0%,6.3%,37.8%,3.9%
p3504,Chicago--Irving Park/Albany Park,83.9%,-6.9%,43.0%,5.0%
p3520,Chicago--Portage Park/Jefferson Park,68.5%,-17.1%,50.0%,8.6%
p3521,Chicago--Austin/Belmont Cragin,50.5%,-34.6%,54.4%,6.0%
p3522,Chicago--Logan Square/Avondale,155.6%,10.8%,72.8%,13.2%
p3523,Chicago--Humboldt Park/Garfield Park,62.2%,-44.7%,92.7%,20.7%
p3524,Chicago--West Town/Near West Side,158.8%,9.6%,50.1%,9.2%
p3526,Chicago--Bridgeport/Brighton Park,88.9%,-29.8%,52.3%,9.1%
p3527,Chicago--Gage Park/West Lawn,64.2%,-25.2%,45.6%,7.7%
p3528,Chicago--Englewood/Greater Grand Crossing,13.4%,-54.3%,44.3%,7.5%
p3529,Chicago--Bronzeville/Hyde Park,59.0%,-35.4%,32.8%,12.6%
p3530,Chicago--Beverly/Morgan Park,53.9%,-21.7%,32.9%,8.3%
p3531,Chicago--Auburn Gresham/Chatham,9.3%,-45.6%,27.1%,6.3%
p3532,Chicago--South Chicago/West Pullman,9.8%,-45.8%,30.0%,13.2%
