"Number","Submarket","Change since 2000","Change Peak to Current","Change Bottom to Current","Year-over-year change","Quarter-over-quarter change"
"p3401","Palatine/Barrington","50.4%","-13.6%","24.1%","0.2%","-0.4%"
"p3407","Melrose Park/Maywood","52.2%","-18.4%","55.3%","4.9%","2.1%"
"p3408","Oak Park/Cicero","77.3%","-13.6%","72.8%","4.7%","1.8%"
"p3409","LaGrange/Burbank","50.8%","-16.9%","34.0%","3.4%","1.2%"
"p3410","Orland Park/Lemont","63.7%","-12.2%","21.7%","4.0%","1.1%"
"p3411","Oak Lawn/Blue Island","41.2%","-21.0%","37.6%","6.9%","2.6%"
"p3412","Oak Forest/Country Club Hills","35.1%","-23.7%","34.6%","6.2%","2.7%"
"p3413","Calumet City/Harvey","-0.4%","-38.6%","52.8%","11.7%","4.0%"
"p3414","Chicago Heights/Park Forest","7.6%","-33.4%","30.9%","8.9%","2.8%"
"p3415","Arlington Heights/Wheeling","61.0%","-10.8%","33.8%","2.4%","0.1%"
"p3416","Winnetka/Northbrook","60.3%","-10.6%","17.9%","-0.7%","0.2%"
"p3417","Hoffman Estates/Streamwood","55.7%","-11.1%","50.8%","7.4%","2.3%"
"p3418","Schaumburg","78.9%","-2.2%","40.0%","5.8%","1.5%"
"p3419","Mount Prospect/Elk Grove Village","60.0%","-12.8%","30.6%","2.6%","1.3%"
"p3420","Park Ridge/Des Plaines","59.1%","-15.9%","37.1%","2.0%","0.8%"
"p3421","Evanston/Skokie","60.4%","-15.3%","34.5%","2.3%","0.8%"
"p3422","Elmwood Park/Franklin Park","55.0%","-21.1%","58.9%","7.6%","2.4%"
"p3501","Chicago--Uptown/Rogers Park","88.1%","-3.6%","36.3%","2.9%","1.9%"
"p3502","Chicago--Lake View/Lincoln Park","80.8%","4.0%","24.9%","2.9%","2.0%"
"p3503","Chicago--Lincoln Square/North Center","118.8%","5.5%","37.0%","-0.9%","-0.2%"
"p3504","Chicago--Irving Park/Albany Park","87.1%","-4.8%","46.6%","-0.1%","-0.9%"
"p3520","Chicago--Portage Park/Jefferson Park","76.3%","-12.9%","57.8%","3.3%","1.8%"
"p3521","Chicago--Austin/Belmont Cragin","70.2%","-25.9%","75.4%","11.1%","4.4%"
"p3522","Chicago--Logan Square/Avondale","156.7%","11.7%","75.1%","0.7%","0.8%"
"p3523","Chicago--Humboldt Park/Garfield Park","86.3%","-36.5%","122.9%","12.1%","2.1%"
"p3524","Chicago--West Town/Near West Side","183.8%","20.7%","65.4%","5.2%","-0.1%"
"p3526","Chicago--Bridgeport/Brighton Park","108.7%","-22.1%","70.0%","10.9%","2.8%"
"p3527","Chicago--Gage Park/West Lawn","76.4%","-19.5%","57.0%","5.6%","2.5%"
"p3528","Chicago--Englewood/Greater Grand Crossing","23.8%","-50.1%","59.0%","10.2%","3.7%"
"p3529","Chicago--Bronzeville/Hyde Park","68.6%","-31.6%","42.1%","4.0%","0.1%"
"p3530","Chicago--Beverly/Morgan Park","60.6%","-17.8%","39.9%","4.4%","1.5%"
"p3531","Chicago--Auburn Gresham/Chatham","22.5%","-38.5%","45.3%","14.3%","6.0%"
"p3532","Chicago--South Chicago/West Pullman","18.6%","-41.1%","42.3%","8.1%","2.4%"
