,"p3401","p3407","p3408","p3409","p3410","p3411","p3412","p3413","p3414","p3415","p3416","p3417","p3418","p3419","p3420","p3421","p3422","p3501","p3502","p3503","p3504","p3520","p3521","p3522","p3523","p3524","p3526","p3527","p3528","p3529","p3530","p3531","p3532"
"YEARQ","Palatine/Barrington","Melrose Park/Maywood","Oak Park/Cicero","LaGrange/Burbank","Orland Park/Lemont","Oak Lawn/Blue Island","Oak Forest/Country Club Hills","Calumet City/Harvey","Chicago Heights/Park Forest","Arlington Heights/Wheeling","Winnetka/Northbrook","Hoffman Estates/Streamwood","Schaumburg","Mount Prospect/Elk Grove Village","Park Ridge/Des Plaines","Evanston/Skokie","Elmwood Park/Franklin Park","Chicago--Uptown/Rogers Park","Chicago--Lake View/Lincoln Park","Chicago--Lincoln Square/North Center","Chicago--Irving Park/Albany Park","Chicago--Portage Park/Jefferson Park","Chicago--Austin/Belmont Cragin","Chicago--Logan Square/Avondale","Chicago--Humboldt Park/Garfield Park","Chicago--West Town/Near West Side","Chicago--Bridgeport/Brighton Park","Chicago--Gage Park/West Lawn","Chicago--Englewood/Greater Grand Crossing","Chicago--Bronzeville/Hyde Park","Chicago--Beverly/Morgan Park","Chicago--Auburn Gresham/Chatham","Chicago--South Chicago/West Pullman"
"1997Q1",88.49,90.57,82.83,84.72,92.38,92.81,93.49,91.72,90.4,85.75,84.22,90.76,88.25,89.95,85.53,82.89,85.8,67.33,73.25,72.62,78.2,78.94,77.58,70.49,82,70.47,79.58,88.11,85.69,61.43,81.22,80.18,84.07
"1997Q2",88.15,89.98,85.78,87.82,92.01,92.86,94.76,93.15,94.17,89.38,84.81,91.13,88.75,90.37,87.47,85.51,89.66,68.07,72.22,70.43,76.3,83.44,82.35,72.09,86.53,70.08,82.2,89.74,85.95,72.29,85.57,84.28,90.4
"1997Q3",88.69,90.18,86.76,89.63,93.79,93.66,95.53,93.31,93.95,90.14,86.3,90.94,88.95,90.35,87.6,86.06,90.45,71.94,74.25,73.34,78.24,84.3,85.03,73.63,92.62,69.56,85.94,90.16,85.93,76.72,87.83,86.55,90.61
"1997Q4",88.41,91.21,86.09,90.78,94.18,94.07,95.5,93.51,94.22,90.73,86.81,91.11,88.69,90.7,87.51,86.04,90.52,73.06,75,74.31,78.8,84.41,84.95,72.77,93.29,68.44,88.12,90.07,87.3,77.84,89.28,87.59,89.85
"1998Q1",88.87,90.64,86.81,91.34,94.47,94.38,96,93.69,94.94,91.69,87.87,91.3,88.88,91.12,88.3,86.56,90.9,74.84,76.91,77.09,79.56,85.49,86.76,74.07,95.75,69.11,90.99,90.53,89.39,85.09,91.12,89.52,90.65
"1998Q2",89.7,91.62,86.6,91.93,95.48,94.99,96.33,94.1,94.41,91.37,91.07,92.08,89.56,91.91,89.39,88.2,91.38,77.65,82.57,80.91,81.85,86.44,87.44,77.91,98.17,74.25,93.36,91.15,90.27,84.02,92.02,90.86,89.64
"1998Q3",91.38,92.74,87.23,93.67,95.5,95.89,96.18,95.02,96.65,92.76,93.33,92.9,90.84,93.08,91.63,89.67,91.8,80.47,84.61,84.17,83.54,87.89,87.48,80.99,97.19,79.26,93.29,92.32,93.21,87.23,92.98,90.98,92.51
"1998Q4",93.26,92.47,88.66,95.18,97.11,97.14,97.1,95.61,97.42,92.43,95.39,93.94,91.45,93.36,93.14,91.6,93.19,82.3,88.01,84.4,86.33,89.77,88.71,86.86,97.21,86.88,92.01,93.82,94.69,92.09,94.06,90.9,95.07
"1999Q1",93.76,93.96,90.07,95.99,97.69,97.98,95.64,96.35,98.27,92.87,96.12,94.95,92.61,93.56,94.01,92.67,94.18,82.83,89.27,85.83,87.1,91.29,89.78,89.57,100.18,91.11,93.96,94.21,93.91,90.93,94.77,91.7,97.19
"1999Q2",96.58,95.88,93.5,98.55,97.92,100.01,96.78,96.73,98.88,95.64,97.34,96.14,94.91,95.54,95.76,94.71,95.67,88.39,89.97,90.24,91.84,93.6,92.42,93.74,98.62,90.61,95.31,95.77,96.66,94.02,95.82,94.91,99.51
"1999Q3",97.79,96.83,96.03,98.35,99.09,100.61,98.18,97.63,99.2,96.89,98.25,97.51,97.01,96.93,97.42,97.91,97.18,91.28,95.24,93.19,95.5,95.89,94.65,95.16,99.1,93.78,97.19,97.22,96.16,95.96,97.13,96.54,97.84
"1999Q4",99.15,98.94,98.74,98.65,99.39,100.12,98.63,98.78,99.16,99.31,98.88,99.27,98.88,98.3,99.16,98.5,99.06,95.58,97.28,95.9,97.96,98.47,97.89,97.93,100.73,96.55,99.36,98.64,97.41,96.69,98.52,98.79,99.88
"2000Q1",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"2000Q2",101.92,102.33,103.65,102.3,103.2,101.2,101.56,101.98,101.59,103.39,102.08,102.63,103.03,103.37,103.6,103.93,103.65,103.12,103.02,104.85,102.86,104.13,102.34,104.98,103.85,109.88,101.96,101.71,102.41,101.12,102.11,101.47,101.32
"2000Q3",105.54,105.86,107.19,104.29,105.13,102.62,103.32,103.83,103.2,106.66,106.04,105.54,105.58,107.85,107.16,107.3,108.06,106.9,103.95,109.46,107.23,108.9,107.84,109.61,107.76,116.71,106.01,104.91,103.77,105.12,103.65,101.71,102.52
"2000Q4",106.69,107.35,110.07,105.64,106.27,105.73,105.6,105.72,105.11,109.29,107.96,107.27,108.02,110.22,110.04,110.06,111.3,108.73,107.86,114.06,111.41,113.21,111.03,112.87,111.49,122.55,110.78,108.79,106.37,109.72,104.69,103.93,103.18
"2001Q1",107.93,108.55,112.3,106.06,108.33,107.49,108.02,105.89,105.01,111.22,109.47,108.76,110.2,112.08,111.82,111.89,113.54,110.77,109.81,115.52,114.18,115.52,112.42,116.56,114.61,127.38,111.97,110.76,108.43,109.62,106.15,105.45,104.75
"2001Q2",111.34,112.86,117.4,109.69,111.57,109.12,110.28,107.21,107.49,114.83,113.02,112.72,114.81,116.95,115.25,115.17,117.44,113.34,113.84,120.07,119.27,120.74,117.99,122.01,121.47,129.91,114.3,116.57,108.39,112.55,109.31,105.69,106.96
"2001Q3",114.87,116.11,121.43,112.18,114.12,111.16,111.92,108.74,108.71,119.26,116.18,116.54,119.66,120.63,118.94,118.86,120.7,116.4,116.58,122.78,121.14,125.1,121.38,128.55,122.78,132.89,120.12,120.85,113.09,113.77,111.52,108.74,111.65
"2001Q4",117.98,118.37,124.4,113.58,116.5,112.58,113.15,109.17,109.44,120.81,117.4,118.99,121.85,122.65,120.73,120.84,122.59,119.67,116.56,123,123.72,127.24,125.1,133.9,128.44,134.39,123.24,123.95,116.41,114.28,113.53,109.73,114.14
"2002Q1",119.49,119.75,127.55,114.76,118.22,112.94,113.41,110.65,111.17,122.42,118.52,121.35,123.64,124.26,122.37,123.22,125.09,123.96,116.1,124.15,125.83,129.7,128.07,136.62,134.27,133.97,125.73,125.36,119.71,117.91,116.35,111.11,116.76
"2002Q2",122.52,122.46,131.52,116.48,120.47,116.61,116.28,112.2,111.41,125.7,121.46,124.86,126.42,127.26,124.95,125.93,128.2,133.48,117.93,126.31,128.13,132.85,131.72,142.41,139.31,138.46,131.87,128.81,124.8,124.93,119.51,115.06,118.41
"2002Q3",124.59,126.5,135.71,119.48,123.97,120.45,118.08,113.91,113.68,128.2,122.48,127.38,129.37,130.84,128.6,130.54,132.36,136.12,120.19,132.42,131.52,136.47,135.52,147.74,152.57,143.84,134.5,133.9,129.42,126.84,123.37,118.19,120.74
"2002Q4",126.1,128.67,139.42,122.32,126.55,122.07,119.71,115.61,115.49,130.92,124.52,129.55,132.05,133.28,131.38,133.93,136.63,138.74,121.37,136.22,133.85,139.86,140.63,147.79,158.59,148.71,142.39,138.05,134.3,130.41,127.03,122.36,122.83
"2003Q1",128.21,132.21,142.27,124.71,128.54,125.39,121.35,117.2,117.24,132.82,126.62,131.29,134.33,135.31,133.64,135.21,137.89,141.48,124.04,140.19,135.73,141.93,143.59,151.63,163.74,153.9,147,142.6,135.57,133.26,128.63,125.89,124.17
"2003Q2",131.19,135.01,147.25,129.04,133.17,128.41,124.44,119.08,119.42,135.5,128.28,135.1,137.9,138.34,137.49,137.43,141.71,144.27,126.58,143.99,140.31,145.01,149.05,154.13,168.52,158.26,151.42,148.36,139.9,137.41,132.68,128.13,126.14
"2003Q3",134.77,138.54,152.85,132.57,136.54,132.13,128.86,120.56,121.7,139.47,131.6,138.53,141.23,140.11,140.5,138.8,146.27,148.75,129.11,147.13,143.23,148.47,154.52,153.89,173.09,163.55,161.4,153.73,143.87,142.79,138.79,131.65,130.08
"2003Q4",136.7,142.03,157.42,136.02,138.74,135.32,131.71,122.8,123.13,140.86,131.97,140.93,143,141.68,142.42,140.36,149.06,149.89,131.47,148.93,146.66,153.18,157.36,155.48,180.88,167.32,166.77,159.24,148.05,146.45,140.85,134.38,135.03
"2004Q1",139.31,144.53,160.18,138.33,141.57,137.22,134.05,124.72,124.83,142.7,133.98,143.53,144.76,143.56,144.76,141.99,152.95,151.16,134.33,151.79,150.18,156.84,161.09,161.31,192.11,169.5,174.36,163.35,154.69,151.67,143.67,139.17,139.68
