Number,Sub Market,Change since 2000,Change Bubble Era Peak to Current,Recovery from Bottom,Year-over-year change,Median Sales Price 2018 Q4 - 2019 Q4
p3401,Palatine/Barrington,48.6%,-14.6%,22.5%,-1.2%," $315,000 "
p3407,Melrose Park/Maywood,57.8%,-15.2%,61.2%,2.3%," $225,000 "
p3408,Oak Park/Cicero,80.6%,-11.8%,76.3%,-0.3%," $238,250 "
p3409,LaGrange/Burbank,57.3%,-13.3%,39.9%,1.0%," $250,000 "
p3410,Orland Park/Lemont,68.3%,-9.6%,25.3%,1.7%," $280,000 "
p3411,Oak Lawn/Blue Island,49.9%,-16.0%,46.3%,3.8%," $187,000 "
p3412,Oak Forest/Country Club Hills,47.7%,-16.6%,47.3%,6.1%," $161,250 "
p3413,Calumet City/Harvey,10.9%,-31.6%,70.9%,6.5%," $90,000 "
p3414,Chicago Heights/Park Forest,17.4%,-27.3%,43.0%,5.9%," $130,000 "
p3415,Arlington Heights/Wheeling,59.1%,-11.8%,32.3%,-1.1%," $317,250 "
p3416,Winnetka/Northbrook,58.4%,-11.6%,16.5%,-0.2%," $650,000 "
p3417,Hoffman Estates/Streamwood,60.6%,-8.4%,55.4%,1.4%," $223,000 "
p3418,Schaumburg,84.0%,0.7%,44.1%,1.2%," $280,000 "
p3419,Mount Prospect/Elk Grove Village,58.2%,-13.7%,29.2%,-1.2%," $310,000 "
p3420,Park Ridge/Des Plaines,61.8%,-14.3%,39.6%,0.4%," $327,000 "
p3421,Evanston/Skokie,59.8%,-15.6%,34.0%,-0.6%," $350,000 "
p3422,Elmwood Park/Franklin Park,61.5%,-17.6%,65.9%,2.0%," $245,000 "
p3501,Chicago--Uptown/Rogers Park,101.6%,3.6%,45.8%,2.8%," $577,500 "
p3502,Chicago--Lake View/Lincoln Park,81.4%,4.4%,20.4%,-1.0%," $1,080,000 "
p3503,Chicago--Lincoln Square/North Center,122.5%,7.7%,40.2%,2.8%," $560,000 "
p3504,Chicago--Irving Park/Albany Park,93.8%,-1.2%,52.4%,1.2%," $425,000 "
p3520,Chicago--Portage Park/Jefferson Park,81.3%,-10.1%,62.9%,0.9%," $300,000 "
p3521,Chicago--Austin/Belmont Cragin,78.3%,-22.0%,85.1%,0.6%," $219,000 "
p3522,Chicago--Logan Square/Avondale,169.2%,17.7%,85.1%,3.0%," $520,000 "
p3523,Chicago--Humboldt Park/Garfield Park,123.1%,-23.8%,168.3%,7.2%," $141,500 "
p3524,Chicago--West Town/Near West Side,186.8%,22.2%,67.7%,3.6%," $680,000 "
p3526,Chicago--Bridgeport/Brighton Park,129.0%,-14.2%,88.0%,9.2%," $230,000 "
p3527,Chicago--Gage Park/West Lawn,92.4%,-12.0%,71.7%,5.8%," $220,000 "
p3528,Chicago--Englewood/Greater Grand Crossing,41.1%,-43.2%,82.3%,5.3%," $70,000 "
p3529,Chicago--Bronzeville/Hyde Park,76.3%,-28.6%,50.0%,4.2%," $231,250 "
p3530,Chicago--Beverly/Morgan Park,73.3%,-10.9%,52.1%,6.6%," $186,750 "
p3531,Chicago--Auburn Gresham/Chatham,36.2%,-31.0%,64.7%,8.6%," $81,000 "
p3532,Chicago--South Chicago/West Pullman,33.5%,-33.3%,62.5%,9.3%," $82,000 "
,,,,,,
,City of Chicago,78.4%,-16.1%,54.9%,4.3%," $215,000 "
,Suburban Cook,46.0%,-17.3%,39.1%,1.8%," $245,000 "
,Cook County,54.1%,-17.4%,43.2%,2.4%," $236,000 "
