"Number","Sub Market","Change since 2000","Change Bubble Era Peak to Current","Recovery from Bottom","Year-over-year change","Median Sales Price"
p3401,Palatine/Barrington,70.3%,-2.3%,40.0%,11.4%," $365,000 "
p3407,Melrose Park/Maywood,88.5%,1.5%,92.7%,14.4%," $279,000 "
p3408,Oak Park/Cicero,109.4%,2.6%,105.0%,12.2%," $321,000 "
p3409,LaGrange/Burbank,85.1%,2.1%,64.6%,14.4%," $310,000 "
p3410,Orland Park/Lemont,103.3%,9.3%,51.4%,14.9%," $336,500 "
p3411,Oak Lawn/Blue Island,92.4%,8.1%,88.2%,21.4%," $237,000 "
p3412,Oak Forest/Country Club Hills,91.2%,8.1%,90.8%,23.5%," $210,000 "
p3413,Calumet City/Harvey,62.5%,0.5%,151.1%,29.2%," $140,000 "
p3414,Chicago Heights/Park Forest,67.2%,3.7%,103.9%,24.8%," $172,500 "
p3415,Arlington Heights/Wheeling,82.2%,1.0%,51.7%,12.4%," $365,000 "
p3416,Winnetka/Northbrook,78.2%,-0.6%,31.2%,12.3%," $750,000 "
p3417,Hoffman Estates/Streamwood,95.0%,11.2%,88.5%,16.9%," $267,000 "
p3418,Schaumburg,113.1%,16.6%,66.8%,12.1%," $315,000 "
p3419,Mount Prospect/Elk Grove Village,80.8%,-1.4%,47.4%,10.3%," $350,000 "
p3420,Park Ridge/Des Plaines,86.0%,-1.4%,60.7%,10.6%," $375,000 "
p3421,Evanston/Skokie,85.5%,-2.1%,55.5%,13.3%," $411,000 "
p3422,Elmwood Park/Franklin Park,92.7%,-1.6%,98.1%,15.0%," $295,000 "
p3501,Chicago--Uptown/Rogers Park,122.7%,14.9%,61.6%,3.7%," $675,000 "
p3502,Chicago--Lake View/Lincoln Park,93.1%,11.1%,28.2%,12.2%," $1,261,000 "
p3503,Chicago--Lincoln Square/North Center,145.3%,19.1%,55.2%,12.5%," $690,000 "
p3504,Chicago--Irving Park/Albany Park,121.1%,12.9%,74.5%,12.7%," $495,000 "
p3520,Chicago--Portage Park/Jefferson Park,111.2%,5.1%,90.5%,13.1%," $352,000 "
p3521,Chicago--Austin/Belmont Cragin,129.5%,0.9%,139.4%,16.4%," $282,000 "
p3522,Chicago--Logan Square/Avondale,206.7%,34.5%,111.9%,7.1%," $629,500 "
p3523,Chicago--Humboldt Park/Garfield Park,197.6%,1.9%,259.7%,12.0%," $210,000 "
p3524,Chicago--West Town/Near West Side,209.2%,31.8%,81.1%,9.0%," $737,500 "
p3526,Chicago--Bridgeport/Brighton Park,173.4%,3.0%,125.7%,3.5%," $305,250 "
p3527,Chicago--Gage Park/West Lawn,134.5%,7.5%,109.6%,11.9%," $268,500 "
p3528,Chicago--Englewood/Greater Grand Crossing,110.4%,-15.4%,173.2%,20.4%," $120,000 "
p3529,Chicago--Bronzeville/Hyde Park,125.6%,-8.6%,92.4%,16.0%," $310,000 "
p3530,Chicago--Beverly/Morgan Park,117.5%,12.3%,91.8%,16.0%," $250,000 "
p3531,Chicago--Auburn Gresham/Chatham,92.1%,-1.7%,136.8%,23.5%," $145,000 "
p3532,Chicago--South Chicago/West Pullman,84.0%,-7.6%,126.1%,21.3%," $131,000 "
