,p3401,p3407,p3408,p3409,p3410,p3411,p3412,p3413,p3414,p3415,p3416,p3417,p3418,p3419,p3420,p3421,p3422,p3501,p3502,p3503,p3504,p3520,p3521,p3522,p3523,p3524,p3526,p3527,p3528,p3529,p3530,p3531,p3532
YEARQ,Palatine/Barrington,Melrose Park/Maywood,Oak Park/Cicero,LaGrange/Burbank,Orland Park/Lemont,Oak Lawn/Blue Island,Oak Forest/Country Club Hills,Calumet City/Harvey,Chicago Heights/Park Forest,Arlington Heights/Wheeling,Winnetka/Northbrook,Hoffman Estates/Streamwood,Schaumburg,Mount Prospect/Elk Grove Village,Park Ridge/Des Plaines,Evanston/Skokie,Elmwood Park/Franklin Park,Chicago--Uptown/Rogers Park,Chicago--Lake View/Lincoln Park,Chicago--Lincoln Square/North Center,Chicago--Irving Park/Albany Park,Chicago--Portage Park/Jefferson Park,Chicago--Austin/Belmont Cragin,Chicago--Logan Square/Avondale,Chicago--Humboldt Park/Garfield Park,Chicago--West Town/Near West Side,Chicago--Bridgeport/Brighton Park,Chicago--Gage Park/West Lawn,Chicago--Englewood/Greater Grand Crossing,Chicago--Bronzeville/Hyde Park,Chicago--Beverly/Morgan Park,Chicago--Auburn Gresham/Chatham,Chicago--South Chicago/West Pullman
1997Q1,88.45,90.59,82.87,84.73,92.37,92.80,93.44,91.80,90.41,85.76,84.20,90.73,88.24,89.97,85.55,82.84,85.78,67.62,73.29,72.77,78.29,78.95,77.53,70.60,82.13,70.66,79.70,88.14,85.80,61.49,81.30,80.24,84.16
1997Q2,88.13,90.05,85.86,87.83,91.98,92.88,94.72,93.23,94.19,89.41,84.81,91.09,88.78,90.37,87.48,85.50,89.65,68.32,72.30,70.51,76.32,83.51,82.38,72.17,86.80,70.21,82.34,89.83,86.00,72.59,85.60,84.36,90.44
1997Q3,88.66,90.26,86.83,89.65,93.76,93.68,95.50,93.36,93.95,90.15,86.30,90.91,88.97,90.34,87.61,86.07,90.44,72.22,74.31,73.43,78.29,84.36,85.08,73.73,92.90,69.67,86.17,90.24,86.01,76.99,87.86,86.57,90.62
1997Q4,88.37,91.27,86.14,90.78,94.15,94.09,95.47,93.54,94.22,90.74,86.82,91.07,88.70,90.70,87.53,86.05,90.52,73.21,75.05,74.44,78.86,84.47,85.02,72.93,93.54,68.52,88.45,90.15,87.37,78.16,89.31,87.62,89.88
1998Q1,88.83,90.71,86.89,91.34,94.44,94.40,95.97,93.71,94.93,91.72,87.92,91.25,88.90,91.10,88.32,86.57,90.90,74.94,76.98,77.24,79.58,85.57,86.88,74.22,95.94,69.15,91.34,90.62,89.48,85.44,91.14,89.50,90.64
1998Q2,89.64,91.67,86.72,91.91,95.46,95.03,96.33,94.08,94.40,91.38,91.13,92.03,89.57,91.91,89.44,88.20,91.38,77.63,82.61,81.13,81.83,86.49,87.55,78.06,98.41,74.45,93.82,91.23,90.30,84.33,92.06,90.76,89.65
1998Q3,91.34,92.76,87.38,93.65,95.48,95.92,96.19,94.99,96.66,92.79,93.40,92.84,90.86,93.07,91.67,89.68,91.81,80.39,84.67,84.39,83.51,87.94,87.62,81.10,97.49,79.58,93.65,92.39,93.25,87.56,93.02,90.86,92.47
1998Q4,93.24,92.51,88.80,95.16,97.09,97.16,97.11,95.59,97.43,92.46,95.47,93.88,91.47,93.34,93.18,91.63,93.15,82.27,88.04,84.51,86.27,89.83,88.85,86.95,97.46,87.30,92.22,93.89,94.85,92.47,94.10,90.65,94.93
1999Q1,93.75,93.99,90.18,95.97,97.68,98.00,95.65,96.32,98.29,92.90,96.19,94.89,92.62,93.55,94.05,92.71,94.14,82.78,89.30,85.91,87.04,91.36,89.89,89.71,100.38,91.60,94.09,94.26,93.98,91.29,94.82,91.51,97.06
1999Q2,96.59,95.92,93.50,98.52,97.91,100.02,96.76,96.71,98.90,95.66,97.40,96.10,94.91,95.52,95.79,94.75,95.64,88.34,89.96,90.28,91.87,93.68,92.53,93.91,98.62,90.98,95.37,95.82,96.74,94.17,95.87,94.80,99.31
1999Q3,97.79,96.86,96.02,98.34,99.09,100.61,98.15,97.61,99.23,96.92,98.28,97.50,97.02,96.91,97.45,97.93,97.15,91.23,95.26,93.22,95.53,95.94,94.72,95.30,98.99,93.96,97.19,97.25,96.19,96.04,97.16,96.50,97.72
1999Q4,99.16,98.96,98.72,98.64,99.39,100.11,98.62,98.76,99.17,99.33,98.90,99.26,98.88,98.28,99.17,98.52,99.06,95.55,97.28,95.91,97.96,98.51,97.95,98.03,100.72,96.70,99.34,98.64,97.43,96.84,98.53,98.78,99.80
2000Q1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2000Q2,101.95,102.30,103.69,102.30,103.21,101.21,101.56,101.99,101.61,103.39,102.08,102.62,103.02,103.36,103.61,103.90,103.62,103.12,103.05,104.80,102.77,104.11,102.30,104.93,103.80,109.77,101.94,101.70,102.43,101.23,102.07,101.41,101.41
2000Q3,105.58,105.82,107.21,104.28,105.13,102.63,103.34,103.84,103.22,106.67,106.04,105.51,105.56,107.88,107.16,107.28,108.04,106.78,104.00,109.36,107.14,108.89,107.77,109.42,107.73,116.70,106.01,104.89,103.86,105.31,103.60,101.66,102.60
2000Q4,106.72,107.28,110.04,105.62,106.28,105.74,105.61,105.75,105.13,109.29,107.97,107.23,108.01,110.25,110.04,110.04,111.27,108.56,107.93,113.97,111.32,113.21,110.84,112.71,111.39,122.52,110.80,108.80,106.47,109.92,104.64,103.94,103.27
2001Q1,107.98,108.49,112.26,106.04,108.34,107.50,108.03,105.90,105.05,111.24,109.48,108.72,110.20,112.09,111.83,111.88,113.47,110.57,109.86,115.39,114.10,115.54,112.24,116.43,114.62,127.41,112.00,110.76,108.62,110.04,106.11,105.38,104.85
2001Q2,111.38,112.78,117.31,109.67,111.58,109.11,110.31,107.19,107.51,114.84,113.01,112.66,114.82,116.98,115.26,115.19,117.37,113.32,113.86,120.00,119.15,120.75,117.79,121.91,121.61,130.04,114.41,116.58,108.62,112.97,109.30,105.60,106.98
2001Q3,114.92,116.04,121.33,112.17,114.13,111.16,111.95,108.69,108.72,119.25,116.18,116.50,119.68,120.67,118.94,118.83,120.64,116.44,116.58,122.75,121.06,125.06,121.15,128.63,122.81,133.18,120.26,120.87,113.34,114.04,111.50,108.61,111.67
2001Q4,118.03,118.29,124.25,113.56,116.52,112.60,113.19,109.10,109.46,120.81,117.40,118.94,121.86,122.69,120.73,120.80,122.49,119.73,116.54,122.95,123.62,127.19,124.91,133.94,128.53,134.87,123.42,123.97,116.64,114.29,113.48,109.50,114.12
2002Q1,119.54,119.65,127.37,114.74,118.23,112.96,113.45,110.59,111.16,122.43,118.55,121.30,123.66,124.33,122.38,123.16,124.98,124.03,116.13,124.10,125.74,129.66,127.90,136.67,134.34,134.41,125.86,125.38,119.89,118.00,116.32,110.89,116.62
