Number,Sub Market,Change since 2000,Change Bubble Era Peak to Current,Recovery from Bottom,COVID-19 Pandemic Start to Current,Year-over-year change,Median Sales Price
p3401,Palatine/Barrington,80.7%,3.7%,48.5%,20.9%,9.8%," $383,000 "
p3407,Melrose Park/Maywood,101.4%,8.5%,105.9%,27.1%,14.5%," $285,000 "
p3408,Oak Park/Cicero,126.6%,11.1%,122.1%,26.2%,13.9%," $335,000 "
p3409,LaGrange/Burbank,96.9%,8.7%,75.1%,25.7%,12.8%," $325,000 "
p3410,Orland Park/Lemont,116.1%,16.2%,60.9%,27.3%,13.1%," $353,000 "
p3411,Oak Lawn/Blue Island,105.2%,15.2%,100.7%,35.9%,17.7%," $245,000 "
p3412,Oak Forest/Country Club Hills,108.2%,17.7%,107.6%,41.3%,20.8%," $220,000 "
p3413,Calumet City/Harvey,78.7%,10.5%,176.1%,58.9%,24.9%," $150,000 "
p3414,Chicago Heights/Park Forest,86.9%,15.9%,127.9%,56.4%,24.6%," $180,000 "
p3415,Arlington Heights/Wheeling,94.9%,8.2%,62.4%,22.7%,11.8%," $384,750 "
p3416,Winnetka/Northbrook,91.2%,6.7%,40.8%,20.8%,13.3%," $785,000 "
p3417,Hoffman Estates/Streamwood,107.8%,18.5%,100.8%,28.2%,13.9%," $282,500 "
p3418,Schaumburg,123.2%,22.1%,74.8%,21.8%,9.4%," $333,000 "
p3419,Mount Prospect/Elk Grove Village,91.2%,4.3%,55.8%,20.8%,9.3%," $369,000 "
p3420,Park Ridge/Des Plaines,95.0%,3.4%,68.4%,20.5%,8.7%," $382,500 "
p3421,Evanston/Skokie,98.3%,4.7%,66.3%,24.3%,12.6%," $420,000 "
p3422,Elmwood Park/Franklin Park,105.1%,4.8%,110.8%,27.7%,13.7%," $305,000 "
p3501,Chicago--Uptown/Rogers Park,141.0%,24.4%,75.1%,15.6%,10.8%," $668,500 "
p3502,Chicago--Lake View/Lincoln Park,98.1%,13.9%,31.5%,10.0%,6.8%," $1,288,500 "
p3503,Chicago--Lincoln Square/North Center,156.1%,24.4%,62.1%,15.5%,8.1%," $674,000 "
p3504,Chicago--Irving Park/Albany Park,137.8%,21.6%,87.8%,25.2%,13.9%," $515,000 "
p3520,Chicago--Portage Park/Jefferson Park,122.5%,10.8%,100.9%,24.2%,11.9%," $355,000 "
p3521,Chicago--Austin/Belmont Cragin,144.3%,7.6%,155.3%,36.4%,15.5%," $290,000 "
p3522,Chicago--Logan Square/Avondale,221.8%,41.2%,122.6%,19.4%,8.6%," $639,000 "
p3523,Chicago--Humboldt Park/Garfield Park,226.3%,11.8%,294.5%,46.6%,13.3%," $211,500 "
p3524,Chicago--West Town/Near West Side,223.1%,37.7%,89.3%,13.5%,8.7%," $818,250 "
p3526,Chicago--Bridgeport/Brighton Park,183.5%,6.9%,134.5%,22.1%,6.1%," $296,500 "
p3527,Chicago--Gage Park/West Lawn,148.6%,14.0%,122.3%,28.5%,11.6%," $275,000 "
p3528,Chicago--Englewood/Greater Grand Crossing,140.2%,-3.4%,212.0%,62.4%,26.3%," $130,000 "
p3529,Chicago--Bronzeville/Hyde Park,143.6%,-1.3%,108.2%,34.5%,19.1%," $320,000 "
p3530,Chicago--Beverly/Morgan Park,133.6%,20.7%,106.3%,35.8%,15.6%," $250,000 "
p3531,Chicago--Auburn Gresham/Chatham,116.2%,10.8%,166.9%,59.2%,23.7%," $153,500 "
p3532,Chicago--South Chicago/West Pullman,102.3%,1.6%,149.0%,50.5%,22.8%," $138,500 "
