"Number","Sub Market","Change Since 2000","Change Bubble Era Peak to Current","Recovery from Bottom","COVID-19 Pandemic Start to Current","Year-over-year change","Median Sales Price 2022 Q1 - 2022 Q4"
"p3401","Palatine/Barrington","75.1%","0.5%","43.9%","17.1%","2.6%"," $447,000 "
"p3407","Melrose Park/Maywood","110.0%","13.2%","114.7%","32.6%","11.5%"," $312,000 "
"p3408","Oak Park/Cicero","119.9%","7.9%","115.6%","22.6%","5.1%"," $385,000 "
"p3409","LaGrange/Burbank","103.4%","12.3%","80.8%","29.8%","9.8%"," $375,000 "
"p3410","Orland Park/Lemont","109.2%","12.5%","55.7%","23.2%","2.8%"," $393,500 "
"p3411","Oak Lawn/Blue Island","100.1%","12.4%","95.7%","32.5%","3.9%"," $265,000 "
"p3412","Oak Forest/Country Club Hills","119.4%","24.0%","118.7%","48.8%","14.4%"," $235,000 "
"p3413","Calumet City/Harvey","83.1%","13.2%","182.9%","62.8%","12.4%"," $166,000 "
"p3414","Chicago Heights/Park Forest","93.4%","19.9%","135.7%","61.8%","15.3%"," $204,000 "
"p3415","Arlington Heights/Wheeling","102.1%","12.2%","68.4%","27.2%","10.9%"," $420,000 "
"p3416","Winnetka/Northbrook","91.4%","6.8%","40.9%","20.9%","7.3%"," $903,750 "
"p3417","Hoffman Estates/Streamwood","116.8%","23.6%","109.6%","33.7%","11.2%"," $315,000 "
"p3418","Schaumburg","132.4%","27.1%","82.0%","26.8%","9.2%"," $370,000 "
"p3419","Mount Prospect/Elk Grove Village","100.9%","9.6%","63.8%","27.0%","11.0%"," $420,000 "
"p3420","Park Ridge/Des Plaines","96.7%","4.3%","70.0%","21.5%","5.7%"," $420,000 "
"p3421","Evanston/Skokie","103.0%","7.2%","70.2%","27.2%","9.4%"," $474,000 "
"p3422","Elmwood Park/Franklin Park","109.2%","6.9%","115.0%","30.2%","8.6%"," $335,000 "
"p3501","Chicago--Uptown/Rogers Park","113.6%","10.3%","55.3%","2.5%","-4.0%"," $749,500 "
"p3502","Chicago--Lake View/Lincoln Park","86.0%","7.0%","23.5%","3.2%","-3.6%"," $1,400,000 "
"p3503","Chicago--Lincoln Square/North Center","177.3%","34.8%","75.7%","25.1%","13.1%"," $780,000 "
"p3504","Chicago--Irving Park/Albany Park","127.7%","16.4%","79.9%","19.9%","3.0%"," $566,000 "
"p3520","Chicago--Portage Park/Jefferson Park","128.3%","13.7%","106.3%","27.6%","8.3%"," $389,250 "
"p3521","Chicago--Austin/Belmont Cragin","126.6%","-0.1%","136.9%","26.6%","-0.7%"," $315,000 "
"p3522","Chicago--Logan Square/Avondale","211.4%","36.7%","115.5%","15.7%","1.7%"," $740,000 "
"p3523","Chicago--Humboldt Park/Garfield Park","252.0%","20.6%","325.3%","58.0%","18.6%"," $235,000 "
"p3524","Chicago--West Town/Near West Side","226.6%","39.3%","91.4%","14.8%","5.7%"," $898,250 "
"p3526","Chicago--Bridgeport/Brighton Park","200.2%","13.2%","148.3%","29.3%","10.5%"," $332,000 "
"p3527","Chicago--Gage Park/West Lawn","146.1%","12.8%","120.0%","27.2%","4.8%"," $294,000 "
"p3528","Chicago--Englewood/Greater Grand Crossing","151.4%","1.1%","226.6%","70.0%","19.6%"," $160,000 "
"p3529","Chicago--Bronzeville/Hyde Park","154.5%","3.2%","117.6%","40.7%","13.1%"," $398,000 "
"p3530","Chicago--Beverly/Morgan Park","117.5%","12.4%","92.0%","26.4%","0.0%"," $266,000 "
"p3531","Chicago--Auburn Gresham/Chatham","95.3%","0.1%","141.3%","43.9%","1.3%"," $175,000 "
"p3532","Chicago--South Chicago/West Pullman","122.2%","11.7%","173.5%","65.4%","20.5%"," $160,000 "
,,,,,,,
,"City of Chicago","133.8%","10.6%","104.3%","31.1%","7.3%"," $325,000 "
,"Suburban Cook","95.1%","10.6%","85.6%","32.8%","10.1%"," $350,000 "
,"Cook County","104.7%","9.9%","90.5%","32.3%","9.2%"," $345,000 "
