"Number","Sub Market","Change since 2000","Change Bubble Era Peak to Current","Recovery from Bottom","COVID-19 Pandemic Start to Current","Year-over-year change","Median Sales Price 2022 Q3 - 2023 Q2"
"p3401","Palatine/Barrington","88.3%","8.0%","54.7%","25.9%","4.1%"," $402,000 "
"p3407","Melrose Park/Maywood","109.5%","12.9%","114.2%","32.3%","4.1%"," $287,500 "
"p3408","Oak Park/Cicero","127.2%","11.5%","122.9%","26.7%","0.2%"," $309,500 "
"p3409","LaGrange/Burbank","105.3%","13.3%","82.5%","31.0%","3.8%"," $325,000 "
"p3410","Orland Park/Lemont","116.4%","16.3%","61.1%","27.5%","-0.1%"," $355,000 "
"p3411","Oak Lawn/Blue Island","103.6%","14.4%","99.2%","34.8%","-0.9%"," $250,000 "
"p3412","Oak Forest/Country Club Hills","118.7%","23.6%","118.0%","48.3%","4.6%"," $220,000 "
"p3413","Calumet City/Harvey","81.7%","12.3%","180.7%","61.5%","1.5%"," $145,000 "
"p3414","Chicago Heights/Park Forest","97.2%","22.2%","140.2%","64.8%","5.3%"," $185,000 "
"p3415","Arlington Heights/Wheeling","106.3%","14.5%","71.9%","29.9%","5.8%"," $400,000 "
"p3416","Winnetka/Northbrook","100.2%","11.7%","47.3%","26.4%","4.6%"," $820,000 "
"p3417","Hoffman Estates/Streamwood","119.8%","25.3%","112.4%","35.5%","5.7%"," $292,000 "
"p3418","Schaumburg","142.4%","32.6%","89.8%","32.3%","8.7%"," $343,000 "
"p3419","Mount Prospect/Elk Grove Village","108.7%","13.9%","70.2%","32.0%","9.2%"," $387,500 "
"p3420","Park Ridge/Des Plaines","103.2%","7.8%","75.6%","25.6%","4.3%"," $381,500 "
"p3421","Evanston/Skokie","107.6%","9.7%","74.2%","30.1%","4.6%"," $430,000 "
"p3422","Elmwood Park/Franklin Park","111.4%","8.0%","117.3%","31.6%","3.3%"," $310,000 "
"p3501","Chicago--Uptown/Rogers Park","140.5%","24.3%","75.0%","15.5%","-0.2%"," $615,000 "
"p3502","Chicago--Lake View/Lincoln Park","94.2%","11.7%","28.9%","7.8%","-1.9%"," $1,281,000 "
"p3503","Chicago--Lincoln Square/North Center","173.5%","33.0%","73.4%","23.5%","7.0%"," $715,000 "
"p3504","Chicago--Irving Park/Albany Park","138.5%","21.9%","88.3%","25.5%","0.2%"," $505,000 "
"p3520","Chicago--Portage Park/Jefferson Park","125.8%","12.5%","104.2%","26.3%","1.7%"," $365,000 "
"p3521","Chicago--Austin/Belmont Cragin","144.8%","8.0%","156.1%","36.9%","0.8%"," $275,000 "
"p3522","Chicago--Logan Square/Avondale","218.8%","40.0%","120.8%","18.5%","-0.8%"," $650,000 "
"p3523","Chicago--Humboldt Park/Garfield Park","258.1%","22.8%","332.7%","60.8%","9.6%"," $215,000 "
"p3524","Chicago--West Town/Near West Side","232.6%","41.9%","95.1%","17.0%","3.0%"," $775,000 "
"p3526","Chicago--Bridgeport/Brighton Park","208.3%","16.3%","155.0%","32.8%","8.6%"," $290,000 "
"p3527","Chicago--Gage Park/West Lawn","155.0%","16.9%","128.0%","31.8%","2.4%"," $276,000 "
"p3528","Chicago--Englewood/Greater Grand Crossing","152.8%","1.7%","228.7%","71.2%","5.8%"," $130,000 "
"p3529","Chicago--Bronzeville/Hyde Park","130.3%","-6.6%","96.9%","27.4%","-5.8%"," $308,000 "
"p3530","Chicago--Beverly/Morgan Park","129.0%","18.4%","102.1%","33.1%","-2.1%"," $244,000 "
"p3531","Chicago--Auburn Gresham/Chatham","112.7%","9.1%","163.2%","56.9%","-1.4%"," $140,000 "
"p3532","Chicago--South Chicago/West Pullman","126.5%","13.8%","178.6%","68.4%","11.3%"," $143,000 "
