"Number","Sub Market","Change Since 2000","Change Peak to Current","Change Bottom to Current","COVID-19 Pandemic Start to Current","Year-over-year change","Median Sales Price"
"p3101","Palatine/Barrington","111.3%","21.3%","73.7%","41.4%","12.1%"," $432,500 "
"p3102","Hoffman Estates/Streamwood","147.3%","40.9%","138.8%","52.4%","12.5%"," $320,000 "
"p3103","Schaumburg","167.6%","46.5%","109.7%","46.3%","10.6%"," $380,000 "
"p3104","Mount Prospect/Elk Grove Village","133.6%","27.7%","90.6%","48.0%","12.0%"," $425,000 "
"p3105","Arlington Heights/Wheeling","124.5%","24.6%","87.1%","41.4%","8.7%"," $440,000 "
"p3106","Winnetka/Northbrook","109.5%","16.9%","54.2%","32.3%","4.5%"," $878,250 "
"p3107","Evanston/Skokie","120.1%","16.8%","85.1%","38.3%","5.7%"," $480,000 "
"p3108","Park Ridge/Niles","118.8%","15.8%","91.6%","36.4%","8.6%"," $412,000 "
"p3109","Elmwood Park/Franklin Park","128.4%","16.7%","131.8%","42.3%","8.2%"," $340,000 "
"p3110","Melrose Park/Maywood","127.2%","23.9%","184.7%","47.1%","7.5%"," $270,000 "
"p3111","Oak Park/Brookfield","132.5%","20.0%","75.1%","33.5%","5.4%"," $450,000 "
"p3112","Berwyn/Cicero","163.8%","29.1%","229.3%","44.7%","8.4%"," $280,000 "
"p3113","LaGrange/Burbank","122.0%","22.5%","97.2%","41.5%","8.8%"," $345,000 "
"p3114","Oak Lawn/Blue Island","126.7%","27.5%","122.0%","50.1%","11.0%"," $270,000 "
"p3115","Orland Park/Lemont","150.0%","28.7%","79.5%","41.6%","11.7%"," $395,000 "
"p3116","Oak Forest/Tinley Park","133.9%","33.7%","119.3%","56.2%","9.7%"," $250,000 "
"p3117","Calumet City/Harvey","100.1%","23.7%","208.9%","77.7%","10.3%"," $154,000 "
"p3118","Chicago Heights/Park Forest","113.6%","32.4%","159.9%","78.2%","9.1%"," $185,000 "
"p3151","Chicago--Albany Park/North Park","127.0%","18.5%","81.5%","31.1%","3.2%"," $445,000 "
"p3152","Chicago--Lincoln Square/North Center","175.4%","34.1%","74.8%","24.5%","0.7%"," $652,750 "
"p3153","Chicago--Uptown/Rogers Park","151.1%","30.0%","83.4%","21.0%","4.6%"," $700,000 "
"p3154","Chicago--Lake View/Lincoln Park","115.1%","23.7%","42.8%","19.3%","10.6%"," $1,418,000 "
"p3155","Chicago--Logan Square/Irving Park","238.7%","54.2%","134.1%","32.9%","12.0%"," $668,250 "
"p3156","Chicago--Portage Park/Jefferson Park","145.1%","22.2%","121.8%","37.2%","8.5%"," $372,750 "
"p3157","Chicago--Humboldt Park/Belmont Cragin","189.2%","20.6%","200.5%","48.2%","5.2%"," $325,000 "
"p3158","Chicago--Austin/North Lawndale","192.1%","22.1%","220.5%","63.2%","11.8%"," $235,000 "
"p3159","Chicago--West Town/Near West Side","235.0%","45.4%","94.7%","18.5%","3.0%"," $903,000 "
"p3161","Chicago--Bronzeville/Hyde Park","169.1%","7.1%","119.3%","33.9%","15.1%"," $472,750 "
"p3162","Chicago--Bridgeport/Lower West Side","239.1%","17.9%","155.3%","30.2%","0.1%"," $325,000 "
"p3163","Chicago--South Lawndale/Brighton Park","182.4%","15.2%","230.2%","40.8%","-0.1%"," $231,000 "
"p3164","Chicago--Archer Heights/West Lawn","157.6%","24.2%","127.8%","36.2%","3.2%"," $285,000 "
"p3165","Chicago--Englewood/Greater Grand Crossing","176.1%","11.3%","259.8%","87.4%","8.8%"," $142,000 "
"p3166","Chicago--Auburn Gresham/Morgan Park","157.8%","30.4%","131.9%","55.5%","8.8%"," $230,000 "
"p3167","Chicago--Chatham/West Pullman","111.4%","9.9%","178.2%","64.5%","3.5%"," $138,000 "
"p3168","Chicago--South Chicago/Hegewisch","129.0%","9.7%","164.3%","63.4%","0.8%"," $150,500 "
,,,,,,,
,"City of Chicago","153.2%","19.9%","121.5%","42.3%","5.5%"," $295,000 "
,"Suburban Cook","116.3%","22.6%","105.7%","47.1%","9.0%"," $330,000 "
,"Cook County","125.1%","20.9%","109.4%","45.4%","7.8%"," $320,000 "
