"Number","Sub Market","Change Since 2000","Change Peak to Current","Change Bottom to Current","COVID-19 Pandemic Start to Current","Year-over-year change","Median Sales Price"
"p3101","Palatine/Barrington","126.7%","30.1%","86.3%","51.6%","7.3%"," $452,000 "
"p3102","Hoffman Estates/Streamwood","163.0%","49.8%","153.9%","62.0%","6.2%"," $340,000 "
"p3103","Schaumburg","185.4%","56.2%","123.7%","56.2%","6.8%"," $401,750 "
"p3104","Mount Prospect/Elk Grove Village","138.4%","30.3%","94.5%","50.9%","2.1%"," $450,000 "
"p3105","Arlington Heights/Wheeling","140.7%","33.7%","100.6%","51.6%","7.2%"," $455,000 "
"p3106","Winnetka/Northbrook","123.6%","24.9%","64.6%","41.2%","6.7%"," $979,500 "
"p3107","Evanston/Skokie","127.6%","20.8%","91.4%","43.0%","3.4%"," $505,250 "
"p3108","Park Ridge/Niles","134.8%","24.4%","105.8%","46.5%","7.3%"," $430,000 "
"p3109","Elmwood Park/Franklin Park","142.7%","24.0%","146.3%","51.3%","6.3%"," $350,000 "
"p3110","Melrose Park/Maywood","142.3%","32.2%","203.6%","56.9%","6.7%"," $285,000 "
"p3111","Oak Park/Brookfield","147.8%","27.9%","86.6%","42.3%","6.6%"," $510,000 "
"p3112","Berwyn/Cicero","170.7%","32.6%","238.2%","48.6%","2.4%"," $295,000 "
"p3113","LaGrange/Burbank","134.0%","29.1%","107.9%","49.1%","5.4%"," $361,000 "
"p3114","Oak Lawn/Blue Island","137.5%","33.5%","132.4%","57.1%","4.7%"," $280,000 "
"p3115","Orland Park/Lemont","164.8%","36.4%","90.2%","50.0%","5.8%"," $419,500 "
"p3116","Oak Forest/Tinley Park","146.1%","40.6%","130.6%","64.3%","5.5%"," $280,000 "
"p3117","Calumet City/Harvey","109.5%","29.5%","223.1%","85.8%","4.8%"," $164,000 "
"p3118","Chicago Heights/Park Forest","119.1%","35.8%","166.2%","82.6%","2.5%"," $203,000 "
"p3151","Chicago--Albany Park/North Park","137.2%","23.9%","89.8%","37.1%","4.7%"," $461,000 "
"p3152","Chicago--Lincoln Square/North Center","193.9%","43.3%","86.8%","33.1%","6.9%"," $695,000 "
"p3153","Chicago--Uptown/Rogers Park","194.6%","52.5%","115.1%","41.8%","17.3%"," $800,500 "
"p3154","Chicago--Lake View/Lincoln Park","117.3%","25.0%","44.2%","20.6%","1.1%"," $1,550,000 "
"p3155","Chicago--Logan Square/Irving Park","261.6%","64.6%","150.0%","42.0%","6.7%"," $725,000 "
"p3156","Chicago--Portage Park/Jefferson Park","151.7%","25.5%","127.8%","41.0%","2.9%"," $403,000 "
"p3157","Chicago--Humboldt Park/Belmont Cragin","196.6%","23.7%","208.1%","51.9%","2.3%"," $350,000 "
"p3158","Chicago--Austin/North Lawndale","212.6%","31.0%","243.7%","75.6%","8.0%"," $254,000 "
"p3159","Chicago--West Town/Near West Side","253.6%","53.6%","105.6%","25.2%","5.6%"," $885,000 "
"p3161","Chicago--Bronzeville/Hyde Park","200.8%","20.1%","145.6%","50.2%","11.6%"," $540,000 "
"p3162","Chicago--Bridgeport/Lower West Side","252.4%","22.7%","165.6%","35.7%","4.7%"," $380,000 "
"p3163","Chicago--South Lawndale/Brighton Park","212.8%","27.7%","266.5%","56.3%","14.9%"," $258,500 "
"p3164","Chicago--Archer Heights/West Lawn","178.1%","34.1%","145.9%","47.1%","8.0%"," $300,000 "
"p3165","Chicago--Englewood/Greater Grand Crossing","203.7%","22.5%","295.7%","106.2%","10.3%"," $160,750 "
"p3166","Chicago--Auburn Gresham/Morgan Park","158.3%","30.7%","132.4%","55.9%","0.3%"," $250,000 "
"p3167","Chicago--Chatham/West Pullman","134.1%","21.6%","207.8%","82.1%","10.7%"," $160,000 "
"p3168","Chicago--South Chicago/Hegewisch","143.2%","16.6%","180.8%","73.6%","6.6%"," $167,750 "
