,p3401,p3407,p3408,p3409,p3410,p3411,p3412,p3413,p3414,p3415,p3416,p3417,p3418,p3419,p3420,p3421,p3422,p3501,p3502,p3503,p3504,p3520,p3521,p3522,p3523,p3524,p3526,p3527,p3528,p3529,p3530,p3531,p3532
,Palatine/Barrington,Melrose Park/Maywood,Oak Park/Cicero,LaGrange/Burbank,Orland Park/Lemont,Oak Lawn/Blue Island,Oak Forest/Country Club Hills,Calumet City/Harvey,Chicago Heights/Park Forest,Arlington Heights/Wheeling,Winnetka/Northbrook,Hoffman Estates/Streamwood,Schaumburg,Mount Prospect/Elk Grove Village,Park Ridge/Des Plaines,Evanston/Skokie,Elmwood Park/Franklin Park,Chicago--Uptown/Rogers Park,Chicago--Lake View/Lincoln Park,Chicago--Lincoln Square/North Center,Chicago--Irving Park/Albany Park,Chicago--Portage Park/Jefferson Park,Chicago--Austin/Belmont Cragin,Chicago--Logan Square/Avondale,Chicago--Humboldt Park/Garfield Park,Chicago--West Town/Near West Side,Chicago--Bridgeport/Brighton Park,Chicago--Gage Park/West Lawn,Chicago--Englewood/Greater Grand Crossing,Chicago--Bronzeville/Hyde Park,Chicago--Beverly/Morgan Park,Chicago--Auburn Gresham/Chatham,Chicago--South Chicago/West Pullman
1997Q1,88.49,90.58,82.81,84.77,92.39,92.77,93.30,91.33,90.26,85.81,84.13,90.84,88.25,89.89,85.50,82.98,85.77,67.19,73.24,72.43,77.98,78.94,77.58,70.57,80.91,70.74,79.44,87.95,85.42,61.41,81.05,80.12,83.65
1997Q2,88.13,89.97,85.70,87.93,92.00,92.80,94.76,92.84,94.04,89.37,84.74,91.21,88.74,90.37,87.47,85.52,89.58,68.00,72.20,70.38,76.18,83.29,82.32,72.16,85.67,70.06,82.00,89.54,85.98,71.78,85.61,84.30,90.25
1997Q3,88.68,90.14,86.68,89.73,93.79,93.63,95.54,93.10,93.92,90.11,86.24,91.00,88.93,90.36,87.58,86.06,90.36,71.77,74.20,73.22,78.09,84.16,84.96,73.59,91.73,69.60,85.57,89.99,85.78,76.33,87.81,86.58,90.52
1997Q4,88.40,91.17,86.04,90.89,94.17,94.05,95.50,93.34,94.18,90.70,86.73,91.17,88.69,90.71,87.48,86.03,90.43,73.02,74.99,74.08,78.61,84.24,84.91,72.64,92.58,68.44,87.76,89.92,87.18,77.35,89.22,87.54,89.71
1998Q1,88.86,90.60,86.74,91.49,94.47,94.37,95.98,93.57,94.97,91.62,87.76,91.36,88.88,91.15,88.27,86.52,90.79,74.88,76.92,76.80,79.46,85.30,86.70,73.89,95.42,69.06,90.68,90.37,89.20,84.42,91.14,89.54,90.63
1998Q2,89.72,91.57,86.53,92.13,95.49,94.97,96.26,94.03,94.47,91.29,90.95,92.16,89.57,91.93,89.33,88.17,91.30,77.79,82.60,80.51,81.84,86.27,87.45,77.68,97.81,74.08,92.96,91.05,90.07,83.58,91.97,90.98,89.53
1998Q3,91.38,92.72,87.17,93.91,95.50,95.86,96.06,94.96,96.66,92.69,93.19,92.99,90.86,93.12,91.57,89.62,91.68,80.73,84.69,83.71,83.59,87.73,87.50,80.75,96.66,78.92,93.22,92.20,92.99,86.69,92.99,91.07,92.55
1998Q4,93.25,92.44,88.61,95.42,97.11,97.09,97.02,95.57,97.44,92.37,95.27,94.02,91.46,93.43,93.08,91.53,93.12,82.35,88.12,84.14,86.44,89.65,88.68,86.67,96.83,86.38,92.15,93.72,94.43,91.86,94.16,91.23,95.23
1999Q1,93.75,93.91,90.04,96.21,97.68,97.92,95.62,96.33,98.27,92.81,95.98,95.04,92.63,93.62,93.94,92.59,94.12,82.94,89.33,85.59,87.22,91.16,89.81,89.38,99.43,90.59,93.98,94.13,93.76,90.61,94.74,92.10,97.29
1999Q2,96.56,95.83,93.55,98.68,97.91,99.96,96.80,96.71,98.86,95.61,97.23,96.19,94.93,95.59,95.71,94.65,95.62,88.39,89.97,90.05,91.79,93.43,92.41,93.56,98.25,90.12,95.31,95.73,96.57,93.99,95.82,95.05,99.80
1999Q3,97.79,96.81,96.05,98.43,99.08,100.56,98.18,97.63,99.22,96.84,98.19,97.51,97.03,96.96,97.39,97.87,97.17,91.33,95.19,93.10,95.43,95.79,94.66,95.09,98.92,93.53,97.15,97.20,96.20,95.92,97.12,96.70,97.93
1999Q4,99.16,98.91,98.77,98.67,99.37,100.09,98.63,98.80,99.20,99.27,98.85,99.27,98.91,98.31,99.13,98.46,99.06,95.68,97.25,95.85,97.93,98.39,97.90,97.82,100.62,96.44,99.34,98.67,97.42,96.37,98.53,98.84,100.03
2000Q1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2000Q2,101.89,102.34,103.63,102.30,103.16,101.22,101.58,101.98,101.58,103.38,102.07,102.64,103.03,103.43,103.62,103.96,103.69,103.15,103.11,104.95,103.01,104.21,102.33,105.08,104.12,110.18,102.05,101.72,102.36,101.08,102.08,101.42,101.10
2000Q3,105.49,105.86,107.19,104.27,105.08,102.69,103.35,103.83,103.16,106.64,106.05,105.59,105.59,107.88,107.17,107.35,108.07,106.96,104.11,109.65,107.44,108.96,107.81,109.82,108.22,116.89,106.08,104.93,103.49,104.96,103.57,101.49,102.34
2000Q4,106.63,107.39,110.09,105.63,106.23,105.77,105.60,105.59,105.04,109.26,107.97,107.32,108.02,110.26,110.06,110.08,111.30,108.65,108.01,114.25,111.67,113.25,110.98,113.05,112.04,122.83,110.82,108.76,106.01,109.46,104.54,103.63,102.97
2001Q1,107.86,108.59,112.33,106.04,108.30,107.53,108.03,105.78,104.98,111.19,109.49,108.82,110.20,112.13,111.84,111.87,113.59,110.81,109.96,115.71,114.44,115.54,112.37,116.75,114.89,127.92,112.05,110.76,107.94,108.75,106.05,105.19,104.50
2001Q2,111.23,112.90,117.44,109.70,111.54,109.18,110.23,107.16,107.48,114.82,113.05,112.78,114.81,116.96,115.27,115.09,117.49,113.39,113.98,120.08,119.53,120.74,118.03,122.14,121.40,130.23,114.16,116.55,107.75,111.77,109.20,105.55,106.91
2001Q3,114.75,116.17,121.48,112.21,114.09,111.19,111.89,108.73,108.68,119.26,116.16,116.60,119.64,120.61,118.99,118.80,120.80,116.40,116.75,122.69,121.33,125.20,121.51,128.65,122.64,133.23,120.01,120.83,112.66,113.10,111.53,108.71,111.61
2001Q4,117.85,118.45,124.47,113.66,116.45,112.61,113.14,109.29,109.39,120.83,117.40,119.05,121.83,122.63,120.76,120.81,122.74,119.89,116.71,122.99,123.92,127.40,125.30,134.15,128.05,134.54,123.12,123.93,116.07,113.82,113.58,109.89,114.15
2002Q1,119.34,119.84,127.63,114.86,118.18,112.98,113.39,110.77,111.15,122.40,118.50,121.41,123.64,124.23,122.38,123.23,125.27,124.04,116.18,124.14,126.01,129.84,128.31,136.80,134.02,133.95,125.72,125.31,119.37,117.56,116.42,111.32,116.97
2002Q2,122.43,122.57,131.68,116.61,120.43,116.66,116.27,112.29,111.38,125.69,121.50,124.92,126.42,127.20,124.97,125.97,128.44,133.60,117.95,126.47,128.41,133.08,131.99,142.79,139.01,138.56,132.26,128.81,124.56,124.67,119.64,115.32,118.69
2002Q3,124.53,126.63,135.93,119.65,123.96,120.50,118.10,113.99,113.63,128.23,122.52,127.42,129.36,130.75,128.63,130.54,132.67,136.73,120.23,132.69,131.97,136.73,135.78,148.13,152.21,143.69,135.04,133.93,129.30,126.64,123.57,118.65,121.03
2002Q4,126.04,128.84,139.67,122.48,126.55,122.19,119.75,115.68,115.39,130.94,124.60,129.59,132.03,133.17,131.42,133.93,136.86,139.36,121.55,136.20,134.34,140.12,140.88,148.29,158.38,148.60,143.05,138.09,134.07,130.43,127.28,122.81,123.22
2003Q1,128.16,132.38,142.60,124.86,128.54,125.48,121.40,117.28,117.11,132.89,126.72,131.32,134.30,135.21,133.70,135.25,138.17,142.25,124.28,140.14,136.24,142.26,143.91,152.32,163.55,153.54,147.92,142.69,135.48,133.37,128.96,126.30,124.64
