Number,Sub market,Change since 2000,Change Peak to Current,Change Bottom to Current,Year-over-year change,Quarter-over-quarter change
p3524,Chicago--West Town/Near West Side,170.4%,14.7%,57.1%,10.4%,3.4%
p3522,Chicago--Logan Square/Avondale,157.6%,11.8%,74.6%,8.1%,0.0%
p3503,Chicago--Lincoln Square/North Center,122.2%,6.6%,38.3%,3.3%,0.6%
p3526,Chicago--Bridgeport/Brighton Park,90.3%,-29.2%,53.9%,2.3%,0.3%
p3504,Chicago--Irving Park/Albany Park,88.6%,-4.4%,47.0%,6.8%,1.9%
p3501,Chicago--Uptown/Rogers Park,82.4%,-6.9%,31.8%,-1.1%,-1.7%
p3502,Chicago--Lake View/Lincoln Park,75.5%,1.0%,16.4%,-2.4%,-1.3%
p3520,Chicago--Portage Park/Jefferson Park,71.7%,-15.4%,53.1%,8.4%,1.7%
p3523,Chicago--Humboldt Park/Garfield Park,70.1%,-42.1%,102.2%,12.4%,2.7%
p3408,Oak Park/Cicero,70.0%,-17.2%,65.4%,6.0%,1.2%
p3418,Schaumburg,68.9%,-7.7%,32.2%,4.3%,1.3%
p3527,Chicago--Gage Park/West Lawn,67.7%,-23.6%,48.9%,7.6%,1.4%
p3529,Chicago--Bronzeville/Hyde Park,64.3%,-33.2%,37.7%,12.2%,4.5%
p3416,Winnetka/Northbrook,61.4%,-9.9%,18.7%,-0.4%,-1.8%
p3415,Arlington Heights/Wheeling,57.4%,-12.9%,30.6%,2.5%,1.0%
p3410,Orland Park/Lemont,57.1%,-15.8%,16.8%,2.7%,0.8%
p3421,Evanston/Skokie,56.7%,-17.3%,31.4%,3.9%,0.7%
p3420,Park Ridge/Des Plaines,56.4%,-17.4%,34.6%,4.5%,0.5%
p3419,Mount Prospect/Elk Grove Village,55.9%,-15.0%,27.4%,3.3%,0.5%
p3530,Chicago--Beverly/Morgan Park,55.6%,-20.7%,34.7%,6.2%,1.4%
p3521,Chicago--Austin/Belmont Cragin,53.4%,-33.3%,57.6%,3.1%,0.4%
p3401,Palatine/Barrington,50.1%,-13.8%,23.9%,1.8%,1.0%
p3409,LaGrange/Burbank,46.5%,-19.3%,30.1%,3.9%,0.6%
p3407,Melrose Park/Maywood,45.8%,-21.9%,48.6%,8.7%,1.6%
p3417,Hoffman Estates/Streamwood,44.7%,-17.3%,40.3%,5.8%,2.3%
p3422,Elmwood Park/Franklin Park,44.3%,-26.6%,47.7%,4.6%,0.8%
p3411,Oak Lawn/Blue Island,32.7%,-25.8%,28.9%,5.9%,0.6%
p3412,Oak Forest/Country Club Hills,27.3%,-28.1%,26.6%,4.2%,1.1%
p3528,Chicago--Englewood/Greater Grand Crossing,13.7%,-54.1%,45.1%,7.6%,2.9%
p3532,Chicago--South Chicago/West Pullman,10.9%,-45.2%,31.8%,9.6%,2.6%
p3531,Chicago--Auburn Gresham/Chatham,8.4%,-45.9%,26.6%,1.1%,-1.9%
p3414,Chicago Heights/Park Forest,-1.1%,-38.8%,20.2%,6.0%,1.9%
p3413,Calumet City/Harvey,-10.4%,-44.9%,37.0%,9.4%,3.3%
