,p3401,p3407,p3408,p3409,p3410,p3411,p3412,p3413,p3414,p3415,p3416,p3417,p3418,p3419,p3420,p3421,p3422,p3501,p3502,p3503,p3504,p3520,p3521,p3522,p3523,p3524,p3526,p3527,p3528,p3529,p3530,p3531,p3532
,Palatine/Barrington,Melrose Park/Maywood,Oak Park/Cicero,LaGrange/Burbank,Orland Park/Lemont,Oak Lawn/Blue Island,Oak Forest/Country Club Hills,Calumet City/Harvey,Chicago Heights/Park Forest,Arlington Heights/Wheeling,Winnetka/Northbrook,Hoffman Estates/Streamwood,Schaumburg,Mount Prospect/Elk Grove Village,Park Ridge/Des Plaines,Evanston/Skokie,Elmwood Park/Franklin Park,Chicago--Uptown/Rogers Park,Chicago--Lake View/Lincoln Park,Chicago--Lincoln Square/North Center,Chicago--Irving Park/Albany Park,Chicago--Portage Park/Jefferson Park,Chicago--Austin/Belmont Cragin,Chicago--Logan Square/Avondale,Chicago--Humboldt Park/Garfield Park,Chicago--West Town/Near West Side,Chicago--Bridgeport/Brighton Park,Chicago--Gage Park/West Lawn,Chicago--Englewood/Greater Grand Crossing,Chicago--Bronzeville/Hyde Park,Chicago--Beverly/Morgan Park,Chicago--Auburn Gresham/Chatham,Chicago--South Chicago/West Pullman
1997Q1,88.49,90.57,82.81,84.75,92.36,92.81,93.37,91.46,90.31,85.78,84.14,90.81,88.24,89.91,85.51,82.95,85.79,67.20,73.26,72.49,78.04,78.95,77.60,70.50,81.26,70.57,79.51,88.04,85.49,61.61,81.10,80.12,83.76
1997Q2,88.14,89.95,85.72,87.87,91.99,92.84,94.77,92.96,94.09,89.37,84.75,91.19,88.74,90.38,87.47,85.51,89.60,68.00,72.18,70.38,76.20,83.35,82.32,72.03,86.04,70.04,82.12,89.62,85.97,72.09,85.60,84.30,90.25
1997Q3,88.69,90.13,86.70,89.67,93.78,93.65,95.55,93.18,93.94,90.12,86.24,90.98,88.93,90.36,87.58,86.06,90.39,71.77,74.18,73.24,78.13,84.22,84.97,73.52,92.15,69.58,85.74,90.06,85.83,76.58,87.82,86.56,90.52
1997Q4,88.40,91.16,86.06,90.83,94.16,94.06,95.51,93.40,94.21,90.71,86.74,91.16,88.69,90.70,87.49,86.03,90.46,72.98,74.97,74.15,78.67,84.30,84.90,72.58,92.85,68.46,87.92,89.98,87.21,77.65,89.24,87.55,89.72
1998Q1,88.87,90.59,86.76,91.41,94.47,94.37,95.99,93.61,94.97,91.65,87.79,91.34,88.88,91.14,88.27,86.53,90.83,74.79,76.89,76.89,79.50,85.37,86.69,73.84,95.52,69.06,90.83,90.43,89.26,84.76,91.14,89.55,90.60
1998Q2,89.72,91.57,86.55,92.04,95.49,94.96,96.29,94.05,94.46,91.33,90.98,92.15,89.56,91.93,89.35,88.17,91.33,77.63,82.56,80.66,81.84,86.33,87.42,77.67,97.91,74.14,93.13,91.10,90.13,83.86,92.00,90.93,89.56
1998Q3,91.38,92.72,87.18,93.80,95.50,95.85,96.11,94.98,96.66,92.73,93.23,92.97,90.84,93.11,91.58,89.63,91.72,80.50,84.68,83.89,83.57,87.78,87.47,80.76,96.75,79.05,93.28,92.25,93.06,86.95,92.99,91.02,92.53
1998Q4,93.25,92.44,88.62,95.30,97.12,97.10,97.04,95.59,97.44,92.41,95.31,94.00,91.45,93.42,93.10,91.56,93.16,82.22,88.09,84.25,86.40,89.69,88.67,86.71,96.95,86.57,92.14,93.75,94.50,92.04,94.14,91.10,95.17
1999Q1,93.76,93.92,90.05,96.11,97.69,97.93,95.63,96.34,98.27,92.85,96.03,95.02,92.62,93.61,93.96,92.62,94.15,82.79,89.30,85.70,87.18,91.20,89.79,89.44,99.73,90.86,94.02,94.15,93.80,90.79,94.76,91.95,97.22
1999Q2,96.56,95.84,93.55,98.62,97.92,99.99,96.80,96.73,98.87,95.63,97.27,96.18,94.92,95.58,95.73,94.67,95.65,88.34,89.96,90.13,91.82,93.49,92.40,93.66,98.41,90.32,95.35,95.74,96.59,94.07,95.82,94.99,99.68
1999Q3,97.79,96.81,96.06,98.39,99.09,100.59,98.18,97.64,99.22,96.86,98.21,97.51,97.03,96.96,97.40,97.88,97.18,91.28,95.20,93.14,95.46,95.83,94.66,95.13,99.02,93.63,97.18,97.20,96.20,96.04,97.12,96.67,97.85
1999Q4,99.16,98.91,98.77,98.66,99.38,100.10,98.64,98.80,99.18,99.28,98.86,99.27,98.90,98.31,99.14,98.48,99.06,95.61,97.25,95.88,97.95,98.42,97.89,97.85,100.62,96.47,99.34,98.66,97.42,96.50,98.53,98.84,99.96
2000Q1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2000Q2,101.90,102.33,103.64,102.31,103.17,101.19,101.58,101.98,101.58,103.40,102.07,102.64,103.02,103.40,103.61,103.95,103.68,103.01,103.09,104.92,102.95,104.19,102.34,105.00,104.07,110.08,102.03,101.72,102.38,101.04,102.10,101.43,101.16
2000Q3,105.51,105.86,107.19,104.29,105.09,102.65,103.35,103.83,103.17,106.66,106.04,105.58,105.58,107.86,107.17,107.33,108.09,106.82,104.05,109.57,107.35,108.94,107.84,109.73,108.07,116.78,106.08,104.92,103.56,104.92,103.60,101.56,102.41
2000Q4,106.64,107.37,110.09,105.65,106.25,105.74,105.61,105.65,105.06,109.29,107.95,107.31,108.01,110.24,110.06,110.07,111.32,108.53,107.96,114.18,111.58,113.23,111.04,112.97,111.91,122.75,110.83,108.77,106.11,109.52,104.59,103.73,103.04
2001Q1,107.89,108.57,112.33,106.06,108.32,107.49,108.03,105.83,104.98,111.22,109.47,108.81,110.19,112.11,111.84,111.88,113.60,110.62,109.91,115.64,114.35,115.53,112.42,116.62,114.82,127.71,112.06,110.76,108.08,109.02,106.08,105.27,104.58
2001Q2,111.27,112.89,117.45,109.70,111.57,109.13,110.26,107.20,107.49,114.84,113.03,112.77,114.80,116.95,115.27,115.13,117.49,113.18,113.92,120.08,119.44,120.73,118.05,122.04,121.39,130.11,114.26,116.56,107.93,112.01,109.23,105.59,106.94
2001Q3,114.79,116.15,121.48,112.21,114.12,111.15,111.91,108.76,108.70,119.27,116.15,116.58,119.64,120.62,118.98,118.84,120.78,116.25,116.71,122.71,121.26,125.15,121.50,128.54,122.59,133.17,120.11,120.84,112.77,113.29,111.53,108.71,111.61
2001Q4,117.90,118.41,124.47,113.64,116.48,112.56,113.15,109.27,109.42,120.84,117.39,119.04,121.84,122.64,120.76,120.83,122.70,119.66,116.66,122.95,123.82,127.33,125.26,133.97,128.09,134.52,123.23,123.93,116.15,113.93,113.56,109.83,114.11
2002Q1,119.40,119.80,127.63,114.84,118.21,112.94,113.41,110.75,111.17,122.43,118.50,121.40,123.64,124.24,122.39,123.25,125.22,123.89,116.17,124.12,125.92,129.78,128.26,136.71,134.09,134.03,125.75,125.33,119.46,117.68,116.40,111.27,116.85
2002Q2,122.46,122.52,131.66,116.57,120.47,116.62,116.29,112.27,111.39,125.72,121.49,124.91,126.42,127.23,124.96,125.98,128.37,133.45,117.90,126.39,128.29,132.98,131.93,142.62,139.06,138.64,132.08,128.82,124.61,124.84,119.61,115.26,118.54
2002Q3,124.55,126.58,135.88,119.59,123.99,120.46,118.11,113.98,113.63,128.25,122.51,127.41,129.36,130.78,128.63,130.56,132.58,136.40,120.15,132.56,131.80,136.62,135.73,147.96,152.35,143.90,134.77,133.92,129.32,126.90,123.51,118.52,120.90
2002Q4,126.06,128.78,139.61,122.42,126.58,122.14,119.75,115.67,115.41,130.96,124.58,129.59,132.03,133.20,131.42,133.95,136.79,139.02,121.41,136.21,134.16,140.01,140.83,148.09,158.52,148.79,142.74,138.07,134.12,130.60,127.20,122.71,123.06
