Number,Sub Market,Change since 2000,Change Bubble Era Peak to Current,Recovery from Bottom,Year-over-year change
p3401,Palatine/Barrington,50.2%,-13.7%,23.9%,-0.4%
p3407,Melrose Park/Maywood,54.7%,-16.9%,58.0%,5.1%
p3408,Oak Park/Cicero,81.4%,-11.5%,76.8%,6.5%
p3409,LaGrange/Burbank,55.6%,-14.2%,38.4%,4.9%
p3410,Orland Park/Lemont,65.4%,-11.2%,23.1%,2.8%
p3411,Oak Lawn/Blue Island,44.6%,-19.0%,41.0%,6.3%
p3412,Oak Forest/Country Club Hills,39.5%,-21.3%,38.9%,8.5%
p3413,Calumet City/Harvey,4.3%,-35.7%,60.2%,13.6%
p3414,Chicago Heights/Park Forest,11.1%,-31.2%,35.2%,8.5%
p3415,Arlington Heights/Wheeling,60.8%,-10.9%,33.7%,0.7%
p3416,Winnetka/Northbrook,58.6%,-11.5%,16.7%,-0.8%
p3417,Hoffman Estates/Streamwood,58.5%,-9.5%,53.5%,5.5%
p3418,Schaumburg,81.9%,-0.5%,42.4%,4.3%
p3419,Mount Prospect/Elk Grove Village,60.0%,-12.8%,30.7%,2.0%
p3420,Park Ridge/Des Plaines,61.3%,-14.7%,39.1%,2.8%
p3421,Evanston/Skokie,60.6%,-15.2%,34.7%,1.3%
p3422,Elmwood Park/Franklin Park,58.6%,-19.2%,62.7%,6.7%
p3501,Chicago--Uptown/Rogers Park,96.2%,0.7%,42.1%,7.2%
p3502,Chicago--Lake View/Lincoln Park,82.7%,5.1%,26.3%,2.8%
p3503,Chicago--Lincoln Square/North Center,117.0%,4.8%,36.3%,0.2%
p3504,Chicago--Irving Park/Albany Park,91.9%,-2.3%,50.6%,1.9%
p3520,Chicago--Portage Park/Jefferson Park,80.1%,-10.9%,61.5%,5.9%
p3521,Chicago--Austin/Belmont Cragin,79.4%,-21.8%,85.3%,12.2%
p3522,Chicago--Logan Square/Avondale,163.3%,14.8%,80.1%,4.3%
p3523,Chicago--Humboldt Park/Garfield Park,106.8%,-29.4%,148.2%,20.6%
p3524,Chicago--West Town/Near West Side,178.0%,18.3%,62.2%,-0.3%
p3526,Chicago--Bridgeport/Brighton Park,110.4%,-21.4%,71.8%,5.3%
p3527,Chicago--Gage Park/West Lawn,82.3%,-16.7%,62.5%,7.8%
p3528,Chicago--Englewood/Greater Grand Crossing,32.9%,-46.5%,71.0%,16.2%
p3529,Chicago--Bronzeville/Hyde Park,70.1%,-31.0%,43.8%,3.1%
p3530,Chicago--Beverly/Morgan Park,62.7%,-16.5%,42.2%,4.8%
p3531,Chicago--Auburn Gresham/Chatham,26.9%,-36.1%,51.6%,13.3%
p3532,Chicago--South Chicago/West Pullman,23.0%,-38.8%,48.3%,9.3%
,,,,,
,Suburban Cook - Median,43.5%,-18.7%,36.6%,4.3%
,City of Chicago - Median,71.6%,-19.4%,48.4%,5.5%
,Cook County - Median,50.7%,-19.3%,39.8%,4.7%
