,"p3401","p3407","p3408","p3409","p3410","p3411","p3412","p3413","p3414","p3415","p3416","p3417","p3418","p3419","p3420","p3421","p3422","p3501","p3502","p3503","p3504","p3520","p3521","p3522","p3523","p3524","p3525","p3526","p3527","p3528","p3529","p3530","p3531","p3532"
"YEARQ","Palatine/Barrington","Melrose Park/Maywood","Oak Park/Cicero","LaGrange/Burbank","Orland Park/Lemont","Oak Lawn/Blue Island","Oak Forest/Country Club Hills","Calumet City/Harvey","Chicago Heights/Park Forest","Arlington Heights/Wheeling","Winnetka/Northbrook","Hoffman Estates/Streamwood","Schaumburg","Mount Prospect/Elk Grove Village","Park Ridge/Des Plaines","Evanston/Skokie","Elmwood Park/Franklin Park","Chicago--Uptown/Rogers Park","Chicago--Lake View/Lincoln Park","Chicago--Lincoln Square/North Center","Chicago--Irving Park/Albany Park","Chicago--Portage Park/Jefferson Park","Chicago--Austin/Belmont Cragin","Chicago--Logan Square/Avondale","Chicago--Humboldt Park/Garfield Park","Chicago--West Town/Near West Side","Chicago--Near North Side, Loop, Near South Side","Chicago--Bridgeport/Brighton Park","Chicago--Gage Park/West Lawn","Chicago--Englewood/Greater Grand Crossing","Chicago--Bronzeville/Hyde Park","Chicago--Beverly/Morgan Park","Chicago--Auburn Gresham/Chatham","Chicago--South Chicago/West Pullman"
"1997Q1",88.48,90.58,82.85,84.72,92.38,92.8,93.5,91.77,90.42,85.75,84.24,90.76,88.25,89.94,85.54,82.88,85.8,67.38,73.28,72.64,78.19,78.93,77.57,70.51,82.04,70.52,88.34,79.6,88.1,85.72,61.39,81.24,80.17,84.12
"1997Q2",88.15,90,85.8,87.82,92.01,92.86,94.76,93.18,94.18,89.38,84.82,91.12,88.75,90.36,87.48,85.51,89.66,68.11,72.26,70.45,76.3,83.45,82.37,72.09,86.62,70.11,82.04,82.23,89.77,85.96,72.32,85.57,84.3,90.41
"1997Q3",88.69,90.2,86.78,89.64,93.79,93.66,95.53,93.34,93.96,90.13,86.31,90.93,88.95,90.34,87.6,86.07,90.46,71.99,74.27,73.36,78.25,84.31,85.05,73.64,92.7,69.56,80.07,86.02,90.17,85.96,76.74,87.83,86.56,90.61
"1997Q4",88.41,91.22,86.11,90.78,94.18,94.07,95.5,93.52,94.23,90.73,86.82,91.1,88.7,90.69,87.52,86.05,90.53,73.08,75.03,74.34,78.81,84.42,84.97,72.8,93.35,68.44,79.76,88.22,90.08,87.33,77.86,89.29,87.61,89.86
"1998Q1",88.86,90.65,86.83,91.34,94.47,94.38,96,93.7,94.94,91.7,87.9,91.29,88.88,91.11,88.31,86.57,90.9,74.84,76.94,77.12,79.57,85.5,86.8,74.1,95.78,69.11,78.01,91.09,90.55,89.42,85.13,91.12,89.54,90.64
"1998Q2",89.69,91.62,86.63,91.92,95.48,95.01,96.34,94.1,94.41,91.37,91.09,92.07,89.56,91.91,89.41,88.21,91.39,77.62,82.59,80.96,81.84,86.45,87.47,77.96,98.19,74.26,79.07,93.49,91.17,90.29,84.04,92.03,90.86,89.64
"1998Q3",91.37,92.74,87.26,93.65,95.5,95.9,96.19,95.01,96.66,92.77,93.35,92.88,90.84,93.07,91.64,89.68,91.8,80.44,84.65,84.22,83.52,87.9,87.52,81.02,97.23,79.32,82.8,93.38,92.34,93.24,87.28,92.99,90.98,92.48
"1998Q4",93.26,92.47,88.69,95.16,97.11,97.14,97.11,95.6,97.43,92.43,95.41,93.92,91.45,93.34,93.15,91.61,93.18,82.31,88.03,84.42,86.31,89.78,88.74,86.88,97.22,86.95,82.54,92.05,93.84,94.74,92.12,94.07,90.86,95.02
"1999Q1",93.76,93.97,90.09,95.98,97.69,97.99,95.64,96.34,98.28,92.87,96.14,94.93,92.61,93.55,94.02,92.67,94.17,82.85,89.3,85.85,87.08,91.3,89.8,89.6,100.22,91.18,88.81,93.97,94.22,93.95,90.98,94.78,91.66,97.15
"1999Q2",96.58,95.89,93.49,98.54,97.92,100,96.78,96.73,98.88,95.63,97.35,96.13,94.91,95.53,95.77,94.72,95.67,88.41,89.98,90.24,91.85,93.62,92.44,93.77,98.63,90.68,91.37,95.31,95.78,96.7,94.03,95.83,94.88,99.46
"1999Q3",97.79,96.83,96.02,98.35,99.09,100.61,98.17,97.62,99.21,96.9,98.26,97.51,97.01,96.92,97.43,97.91,97.18,91.3,95.25,93.2,95.5,95.9,94.66,95.19,99.08,93.81,94.2,97.18,97.23,96.18,95.93,97.14,96.52,97.81
"1999Q4",99.16,98.94,98.73,98.64,99.39,100.11,98.63,98.78,99.16,99.31,98.89,99.26,98.88,98.3,99.16,98.51,99.06,95.58,97.29,95.91,97.95,98.47,97.9,97.95,100.73,96.57,100.13,99.35,98.64,97.42,96.72,98.53,98.77,99.85
"2000Q1",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"2000Q2",101.93,102.32,103.66,102.3,103.21,101.2,101.56,101.98,101.6,103.4,102.08,102.63,103.02,103.37,103.6,103.93,103.64,103.12,103.04,104.85,102.85,104.13,102.34,104.97,103.8,109.85,101.38,101.95,101.71,102.41,101.14,102.11,101.47,101.35
"2000Q3",105.55,105.85,107.2,104.29,105.13,102.62,103.32,103.84,103.21,106.66,106.04,105.54,105.57,107.85,107.15,107.3,108.06,106.87,103.97,109.44,107.21,108.9,107.85,109.57,107.72,116.7,102.45,106.01,104.91,103.8,105.19,103.65,101.73,102.56
"2000Q4",106.69,107.34,110.07,105.64,106.28,105.73,105.6,105.74,105.11,109.29,107.96,107.26,108.01,110.22,110.04,110.06,111.3,108.7,107.88,114.04,111.38,113.21,111.01,112.84,111.46,122.55,105.54,110.79,108.79,106.42,109.78,104.69,103.97,103.21
"2001Q1",107.94,108.54,112.29,106.06,108.33,107.49,108.03,105.9,105.01,111.23,109.47,108.76,110.2,112.09,111.82,111.9,113.53,110.72,109.84,115.48,114.15,115.52,112.41,116.54,114.62,127.39,106.89,111.99,110.75,108.51,109.72,106.15,105.48,104.77
"2001Q2",111.35,112.85,117.38,109.69,111.57,109.12,110.29,107.21,107.49,114.84,113.02,112.71,114.81,116.96,115.25,115.18,117.43,113.32,113.85,120.05,119.24,120.73,117.97,121.99,121.54,129.93,113.18,114.34,116.57,108.47,112.64,109.32,105.72,106.95
"2001Q3",114.89,116.1,121.41,112.18,114.12,111.16,111.93,108.73,108.7,119.26,116.18,116.54,119.66,120.64,118.93,118.86,120.7,116.4,116.59,122.78,121.12,125.08,121.36,128.57,122.81,132.92,120.55,120.19,120.85,113.16,113.82,111.52,108.75,111.64
"2001Q4",117.99,118.35,124.37,113.58,116.51,112.58,113.16,109.15,109.44,120.82,117.41,118.98,121.85,122.67,120.72,120.84,122.57,119.66,116.57,122.99,123.71,127.23,125.08,133.92,128.47,134.45,120.8,123.32,123.95,116.46,114.3,113.52,109.72,114.14
"2002Q1",119.5,119.73,127.51,114.76,118.23,112.95,113.41,110.64,111.16,122.43,118.54,121.34,123.64,124.28,122.37,123.22,125.07,123.95,116.13,124.15,125.81,129.69,128.06,136.65,134.3,134.02,122.15,125.8,125.37,119.74,117.94,116.35,111.1,116.72
