"Number","Sub Market","Change since 2000","Change Bubble Era Peak to Current","Recovery from Bottom","Year-over-year change","Median Sales Price"
"p3401","Palatine/Barrington","64.2%","-5.7%","35.2%","11.1%"," $357,000 "
"p3407","Melrose Park/Maywood","76.1%","-5.2%","80.0%","10.7%"," $263,000 "
"p3408","Oak Park/Cicero","99.1%","-2.5%","94.9%","11.1%"," $309,000 "
"p3409","LaGrange/Burbank","74.4%","-3.8%","55.2%","11.5%"," $305,000 "
"p3410","Orland Park/Lemont","90.7%","2.5%","42.1%","12.1%"," $320,000 "
"p3411","Oak Lawn/Blue Island","74.2%","-2.2%","70.3%","14.1%"," $225,000 "
"p3412","Oak Forest/Country Club Hills","72.1%","-2.7%","71.7%","16.6%"," $190,000 "
"p3413","Calumet City/Harvey","42.6%","-11.9%","120.2%","24.4%"," $130,000 "
"p3414","Chicago Heights/Park Forest","49.5%","-7.3%","82.3%","22.5%"," $162,500 "
"p3415","Arlington Heights/Wheeling","74.2%","-3.4%","45.0%","10.2%"," $351,500 "
"p3416","Winnetka/Northbrook","68.7%","-5.9%","24.1%","8.4%"," $725,000 "
"p3417","Hoffman Estates/Streamwood","82.2%","3.9%","76.1%","13.0%"," $250,000 "
"p3418","Schaumburg","104.4%","11.8%","60.1%","11.1%"," $300,000 "
"p3419","Mount Prospect/Elk Grove Village","74.7%","-4.8%","42.4%","11.2%"," $340,250 "
"p3420","Park Ridge/Des Plaines","79.4%","-4.9%","54.9%","10.6%"," $365,000 "
"p3421","Evanston/Skokie","76.1%","-7.1%","47.5%","11.2%"," $400,000 "
"p3422","Elmwood Park/Franklin Park","80.4%","-7.9%","85.4%","11.3%"," $285,000 "
"p3501","Chicago--Uptown/Rogers Park","117.8%","12.2%","57.9%","4.2%"," $679,000 "
"p3502","Chicago--Lake View/Lincoln Park","85.6%","6.7%","23.1%","6.0%"," $1,150,000 "
"p3503","Chicago--Lincoln Square/North Center","137.1%","15.0%","49.8%","7.5%"," $680,000 "
"p3504","Chicago--Irving Park/Albany Park","109.0%","6.7%","64.8%","9.8%"," $477,500 "
"p3520","Chicago--Portage Park/Jefferson Park","99.4%","-0.9%","79.6%","10.2%"," $342,000 "
"p3521","Chicago--Austin/Belmont Cragin","113.1%","-6.5%","121.9%","18.1%"," $275,000 "
"p3522","Chicago--Logan Square/Avondale","197.4%","30.3%","105.1%","9.0%"," $620,000 "
"p3523","Chicago--Humboldt Park/Garfield Park","189.7%","-0.9%","249.8%","27.4%"," $216,000 "
"p3524","Chicago--West Town/Near West Side","197.4%","26.7%","74.1%","3.2%"," $700,000 "
"p3526","Chicago--Bridgeport/Brighton Park","170.0%","1.6%","122.6%","12.8%"," $300,000 "
"p3527","Chicago--Gage Park/West Lawn","122.7%","2.0%","98.9%","13.0%"," $254,000 "
"p3528","Chicago--Englewood/Greater Grand Crossing","90.9%","-23.2%","147.6%","25.9%"," $124,000 "
"p3529","Chicago--Bronzeville/Hyde Park","105.6%","-16.8%","75.0%","9.6%"," $335,000 "
"p3530","Chicago--Beverly/Morgan Park","102.7%","4.5%","78.6%","14.4%"," $235,000 "
"p3531","Chicago--Auburn Gresham/Chatham","74.9%","-10.7%","114.9%","24.5%"," $140,000 "
"p3532","Chicago--South Chicago/West Pullman","64.3%","-17.6%","101.4%","16.1%"," $125,000 "
,,,,,,
,"City of Chicago","105.0%","-3.3%","78.7%","12.8%"," $280,000 "
,"Suburban Cook","65.5%","-6.2%","57.6%","12.6%"," $295,000 "
,"Cook County","75.7%","-5.7%","63.5%","12.8%"," $290,000 "
