,"p3401","p3407","p3408","p3409","p3410","p3411","p3412","p3413","p3414","p3415","p3416","p3417","p3418","p3419","p3420","p3421","p3422","p3501","p3502","p3503","p3504","p3520","p3521","p3522","p3523","p3524","p3526","p3527","p3528","p3529","p3530","p3531","p3532"
"YEARQ","Palatine/Barrington","Melrose Park/Maywood","Oak Park/Cicero","LaGrange/Burbank","Orland Park/Lemont","Oak Lawn/Blue Island","Oak Forest/Country Club Hills","Calumet City/Harvey","Chicago Heights/Park Forest","Arlington Heights/Wheeling","Winnetka/Northbrook","Hoffman Estates/Streamwood","Schaumburg","Mount Prospect/Elk Grove Village","Park Ridge/Des Plaines","Evanston/Skokie","Elmwood Park/Franklin Park","Chicago--Uptown/Rogers Park","Chicago--Lake View/Lincoln Park","Chicago--Lincoln Square/North Center","Chicago--Irving Park/Albany Park","Chicago--Portage Park/Jefferson Park","Chicago--Austin/Belmont Cragin","Chicago--Logan Square/Avondale","Chicago--Humboldt Park/Garfield Park","Chicago--West Town/Near West Side","Chicago--Bridgeport/Brighton Park","Chicago--Gage Park/West Lawn","Chicago--Englewood/Greater Grand Crossing","Chicago--Bronzeville/Hyde Park","Chicago--Beverly/Morgan Park","Chicago--Auburn Gresham/Chatham","Chicago--South Chicago/West Pullman"
"1997Q1",88.44,90.58,82.87,84.72,92.37,92.81,93.41,91.78,90.41,85.76,84.19,90.73,88.24,89.97,85.55,82.83,85.77,67.7,73.28,72.77,78.3,78.95,77.5,70.61,82.12,70.64,79.7,88.14,85.79,61.51,81.29,80.244,84.161
"1997Q2",88.13,90.05,85.87,87.83,91.98,92.89,94.7,93.22,94.19,89.41,84.8,91.09,88.78,90.37,87.48,85.5,89.64,68.37,72.3,70.51,76.32,83.52,82.37,72.2,86.81,70.19,82.34,89.83,86.01,72.62,85.6,84.369,90.446
"1997Q3",88.66,90.27,86.84,89.64,93.76,93.68,95.49,93.36,93.95,90.15,86.3,90.91,88.97,90.34,87.61,86.07,90.43,72.27,74.31,73.44,78.29,84.37,85.07,73.75,92.91,69.64,86.18,90.24,86.01,77.03,87.86,86.575,90.624
"1997Q4",88.37,91.28,86.15,90.77,94.15,94.1,95.45,93.54,94.21,90.74,86.82,91.07,88.7,90.7,87.53,86.04,90.52,73.25,75.05,74.46,78.87,84.48,85.02,72.95,93.55,68.5,88.46,90.15,87.37,78.21,89.31,87.621,89.883
"1998Q1",88.82,90.71,86.9,91.33,94.44,94.4,95.96,93.71,94.92,91.72,87.92,91.25,88.9,91.1,88.32,86.56,90.9,74.95,76.98,77.26,79.58,85.58,86.88,74.24,95.95,69.14,91.36,90.62,89.49,85.49,91.15,89.501,90.644
"1998Q2",89.63,91.68,86.73,91.91,95.45,95.03,96.33,94.08,94.4,91.38,91.13,92.03,89.57,91.91,89.44,88.2,91.38,77.63,82.61,81.15,81.83,86.5,87.54,78.07,98.42,74.46,93.85,91.23,90.31,84.38,92.06,90.743,89.657
"1998Q3",91.34,92.76,87.39,93.64,95.47,95.92,96.18,94.99,96.66,92.79,93.4,92.83,90.86,93.07,91.67,89.68,91.81,80.37,84.67,84.42,83.5,87.95,87.62,81.1,97.5,79.6,93.68,92.39,93.25,87.61,93.03,90.829,92.473
"1998Q4",93.24,92.51,88.82,95.15,97.08,97.16,97.1,95.58,97.43,92.46,95.47,93.88,91.47,93.34,93.18,91.63,93.14,82.26,88.05,84.52,86.26,89.83,88.85,86.96,97.47,87.33,92.26,93.89,94.85,92.5,94.11,90.613,94.931
"1999Q1",93.75,93.99,90.19,95.97,97.68,98,95.64,96.32,98.3,92.9,96.19,94.89,92.63,93.54,94.05,92.71,94.13,82.77,89.31,85.92,87.04,91.36,89.89,89.72,100.39,91.62,94.1,94.26,93.98,91.33,94.82,91.483,97.065
"1999Q2",96.59,95.93,93.5,98.52,97.9,100.02,96.76,96.71,98.89,95.66,97.4,96.1,94.91,95.52,95.79,94.75,95.63,88.32,89.97,90.28,91.87,93.69,92.54,93.92,98.61,90.99,95.38,95.82,96.74,94.2,95.87,94.789,99.311
"1999Q3",97.79,96.86,96.02,98.34,99.09,100.62,98.15,97.61,99.23,96.92,98.28,97.5,97.02,96.91,97.45,97.93,97.15,91.22,95.27,93.22,95.53,95.95,94.72,95.31,98.98,93.96,97.2,97.26,96.18,96.05,97.16,96.501,97.714
