"PumaID","Name","1997Q1","1997Q2","1997Q3","1997Q4","1998Q1","1998Q2","1998Q3","1998Q4","1999Q1","1999Q2","1999Q3","1999Q4","2000Q1","2000Q2","2000Q3","2000Q4","2001Q1","2001Q2","2001Q3","2001Q4","2002Q1","2002Q2","2002Q3","2002Q4","2003Q1","2003Q2","2003Q3","2003Q4","2004Q1","2004Q2","2004Q3","2004Q4","2005Q1","2005Q2","2005Q3","2005Q4","2006Q1","2006Q2","2006Q3","2006Q4","2007Q1","2007Q2","2007Q3","2007Q4","2008Q1","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","Change Peak to Current","Change Peak to Bottom","Change Since 2000","Change Bottom to Current"
"03401","Palatine/Barrington",-11.5,-11.9,-11.3,-11.6,-11.2,-10.3,-8.7,-6.8,-6.3,-3.5,-2.2,-0.8,0,1.9,5.5,6.6,7.8,11.1,14.6,17.7,19.2,22.3,24.5,26,28.1,31.1,34.6,36.5,39.1,43.7,47.8,50.4,52.7,56.9,60.7,63,64.5,67.6,69.9,72.4,74.2,74.2,74.2,72.3,70.6,68.6,65,62.8,59.9,54.1,50.6,47.9,46.2,43.6,41.3,38.3,37.6,33.9,29.7,26.7,24.9,22,21.1,22.3,22.8,26.7,30.8,34,35.4,38.5,41,40.7,-19.2,-30.5,40.7,16.2
"03407","Melrose Park/Maywood",-9.5,-10,-9.9,-8.8,-9.4,-8.4,-7.3,-7.6,-6.1,-4.2,-3.2,-1.1,0,2.3,5.8,7.3,8.5,12.9,16.2,18.5,19.9,22.6,26.7,28.9,32.5,35.3,38.8,42.2,44.7,48.5,52.4,55.3,59.1,64.5,69.4,73.9,75.9,79.5,82.3,84.5,85.8,87.2,85.3,80.8,78.4,70.8,62.3,54.1,49.3,37,30,25.8,23.6,24,21.8,19.8,15.6,9,5.5,2.6,2.5,-0.5,-1.1,-0.6,-1.2,2,5.8,8.5,11.2,14.6,17.4,18.8,-36.5,-47.2,18.8,20.3
"03408","Oak Park/Cicero",-17.2,-14.3,-13.4,-14,-13.3,-13.4,-12.8,-11.3,-9.9,-6.4,-4,-1.2,0,3.7,7.2,10.1,12.4,17.5,21.5,24.5,27.6,31.7,36,39.8,42.8,47.8,53.3,57.9,60.7,65.2,70.2,73.6,76.7,83.2,87.9,93.7,97,100.7,104.9,105.4,106.1,105.3,102.5,98.2,93.8,82.6,71.8,62.1,50.9,38.4,31.3,28.3,26.4,27.3,24.8,23,21.1,16.2,12.8,9.7,7.2,4.6,4.7,3.6,5.1,8.6,11.8,17.6,21.8,28.9,35.5,39.3,-32.4,-49.7,39.3,34.5
"03409","LaGrange/Burbank",-15.2,-11.9,-10.1,-9,-8.3,-7.6,-5.8,-4.3,-3.5,-1.2,-1.5,-1.3,0,2.3,4.2,5.6,6,9.7,12.2,13.7,14.9,16.7,19.8,22.6,25,29.2,32.8,36.1,38.5,42.5,47.8,50.7,53.5,57.4,61.3,66.2,69.8,74.1,77.6,78.9,81.2,81.9,81.9,79.4,75.2,69,63.4,61.1,57.8,49.7,42.7,38.8,36.5,37,34.7,32.3,30.6,25.4,23.8,20.1,16,14.1,13.1,14.9,16.3,20.9,23.5,24.8,27.1,28.2,29.8,31.3,-27.8,-37.9,31.3,16.1
"03410","Orland Park/Lemont",-7.6,-8,-6.2,-5.8,-5.5,-4.5,-4.5,-2.9,-2.3,-2.1,-0.9,-0.6,0,3.1,5,6.2,8.3,11.5,14,16.4,18.1,20.4,23.9,26.5,28.5,33.1,36.4,38.6,41.4,45.3,50.1,54.7,57.3,61.9,68.4,72.2,75.1,80.3,82.1,85.4,86.5,86.9,86.6,84.6,83.4,77.9,74.4,70.9,67.8,65.3,60.6,58.1,57.2,55.6,53,52.3,50.2,46.3,45.6,42.9,40.5,38.7,36.1,34.8,34.5,36.2,39.5,41.4,42.6,44.6,45.9,46.1,-21.9,-28,46.1,8.6
"03411","Oak Lawn/Blue Island",-7.3,-7.3,-6.4,-5.9,-5.6,-5,-4.1,-2.9,-2.1,-0.1,0.5,0.1,0,1.3,2.8,5.8,7.6,9.3,11.3,12.7,13,16.7,20.5,22.2,25.5,28.6,32.3,35.5,37.4,42,45.2,49.9,52.6,56.5,62.1,64.6,67.6,71.2,74.2,77.2,78.2,79.5,78.1,75.4,73.5,69.3,64.3,56.9,50.5,41.6,33.6,34.4,34.6,35.9,34.5,29.9,25.7,17.8,13.8,10.5,6.5,5.7,4,3.6,5.1,5.5,8.9,10.2,11.9,14.6,15.5,18.4,-34,-42.3,18.4,14.4
"03412","Oak Forest/Country Club Hills",-6.9,-5.4,-4.6,-4.6,-4.2,-3.9,-4.1,-3.1,-4.5,-3.2,-1.8,-1.4,0,1.5,3.3,5.5,8,10.2,11.8,13.1,13.3,16.2,18.1,19.7,21.4,24.5,28.8,31.6,33.8,37.7,42.1,45.1,47.9,51.5,57,60.7,64.4,67.3,70,72.7,74.9,77.5,76.2,73.4,70.5,63.3,54.6,48.9,43.2,36.5,32.1,30.9,28.5,27.2,24.6,20.4,17.1,10.9,9.9,8.2,6.8,6,2.3,1.6,1,2.3,4.9,5.9,7.4,7.9,10.4,11.6,-37.1,-43.1,11.6,10.6
"03413","Calumet City/Harvey",-8.8,-7.3,-7,-6.8,-6.5,-6,-5.1,-4.5,-3.7,-3.3,-2.4,-1.2,0,2,3.8,5.5,5.7,7.1,8.7,9.4,10.8,12.3,14,15.7,17.3,19.3,20.7,23,24.9,28.1,31.4,34.8,38.3,41.7,45.7,48.5,51.2,55,58.8,61,62.5,63,60.5,56.1,51.5,44.1,33.4,24.9,15.6,4.4,-2.6,-5.8,-9,-9.7,-10.5,-11.6,-12.8,-16,-18.8,-21.9,-25.1,-28.2,-30.9,-34,-32.2,-30.5,-29.3,-27.5,-25.4,-23.1,-22.7,-22,-52.2,-59.5,-22,18.2
"03414","Chicago Heights/Park Forest",-9.9,-6.1,-6.1,-5.9,-5,-5.5,-3.3,-2.6,-1.7,-1.1,-0.8,-0.8,0,1.6,3.1,5,5,7.5,8.7,9.4,11.1,11.3,13.6,15.3,17,19.3,21.6,23,24.7,28.4,31.9,35,37.7,40.3,43.5,46.2,49.2,53,55,57.6,59,60.6,61.7,58.5,56.3,49.2,41.2,34.4,24.7,17.9,9.9,6.8,4.2,3.2,2.3,0.9,-1.7,-6.4,-10.2,-12.8,-15.2,-17.4,-17.4,-17.3,-16.3,-13.9,-14,-13.1,-12.1,-12,-10.9,-10.9,-44.9,-48.9,-10.9,8
"03415","Arlington Heights/Wheeling",-14.2,-10.7,-9.9,-9.3,-8.4,-8.8,-7.4,-7.7,-7.3,-4.4,-3.2,-0.8,0,3.4,6.6,9.2,11.1,14.8,19.2,20.8,22.3,25.6,28.2,30.9,32.9,35.6,39.5,41,42.7,46.4,50.4,53.1,55.3,60.5,64.2,67.7,70.7,72.9,77.9,80.2,79.7,81,79.6,77.5,77.8,73.6,66.7,62.4,57.7,52.4,48.7,44.9,44,40.4,37.6,35.1,33,29,25.3,22.4,20.7,20.9,21.4,22.3,21.7,23.6,28.7,31.7,35.9,39.2,41.6,42.9,-21,-33.3,42.9,18.4
"03416","Winnetka/Northbrook",-15.9,-15.3,-13.8,-13.3,-12.3,-9.1,-6.9,-4.8,-4.1,-2.8,-1.9,-1.2,0,2.1,6.1,8,9.5,13.1,16.2,17.5,18.5,21.6,22.6,24.7,26.8,28.5,31.8,32.2,34.2,37.3,39.7,41.9,44.5,49.7,58.2,63.6,67.1,71.8,74.5,77.1,77.5,79.2,79.1,78.7,78.8,74.7,70.5,67.9,65,57.5,52.7,48.5,46.5,46.6,44.2,43,43.5,42.5,41.8,39.4,37.1,36.1,36.8,38.8,39.8,44,47.1,49.1,51.1,54.3,58.7,60.5,-10.4,-24,60.5,17.9
"03417","Hoffman Estates/Streamwood",-9.1,-8.7,-9,-8.8,-8.6,-7.8,-7,-6,-4.9,-3.8,-2.5,-0.7,0,2.6,5.6,7.3,8.8,12.7,16.6,19,21.4,24.9,27.3,29.5,31.2,35,38.5,40.8,43.4,47.2,51.3,54.5,56.1,59.2,61.9,64.6,67,69.7,72.5,74.1,74.4,74.7,73.6,72,69,64.4,59.3,54.5,51.1,44.7,37.5,35.4,32.5,31.1,28.5,24.2,19.2,13.1,11.1,8.1,7.4,4.9,3.2,2.8,3.1,5.7,9.9,13.1,15.7,19.6,21.5,22.8,-29.7,-41.1,22.8,19.4
"03418","Schaumburg",-11.7,-11.2,-11,-11.3,-11.1,-10.4,-9.1,-8.5,-7.4,-5.1,-3,-1.1,0,3,5.6,8,10.2,14.8,19.6,21.8,23.6,26.4,29.3,32,34.3,37.8,41.2,42.9,44.7,47.9,51.3,54.6,57,62.1,67.7,71,73.1,77.5,79.5,81.1,83.1,82.7,82.4,81.6,78.7,77.1,74.2,71.7,68.2,61.3,53.5,52,51.6,49.6,46.8,42.8,41,36.8,36.3,33.1,31.4,30.3,28.1,28.4,28.4,29.5,34.1,36.7,39.5,43.4,45.5,48.3,-19,-30.1,48.3,15.8
"03419","Mount Prospect/Elk Grove Village",-10.1,-9.7,-9.7,-9.3,-8.9,-8.1,-6.9,-6.5,-6.4,-4.4,-3,-1.7,0,3.4,7.9,10.2,12.1,17,20.6,22.6,24.2,27.1,30.7,33.1,35.1,38.1,39.9,41.4,43.3,46.7,50.6,52.7,55.5,61.7,66.5,72,74.5,78.5,81.9,83.5,83,81.7,79.9,77.9,75.1,70.8,66,62.1,59.9,55.2,50.8,45.9,44.1,41.8,39.1,38.2,35.8,31,28.9,25.7,24.5,23.5,23.2,22.2,23.5,26.6,30.3,33.4,35.7,39.3,40.7,42.5,-22.3,-33.4,42.5,16.7
