PumaID,Name,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,Change Since 2000,Change Peak to Current,Change Bottom to Current,COVID-19 Pandemic Start to Current,Year-over-year change,Median Sales Price
03101,Palatine/Barrington,-11.6,-11.9,-11.3,-11.6,-11.2,-10.4,-8.7,-6.8,-6.2,-3.4,-2.2,-0.8,0.0,1.9,5.6,6.7,8.0,11.4,14.9,18.0,19.5,22.5,24.6,26.1,28.2,31.2,34.8,36.8,39.4,44.0,48.0,50.6,52.8,56.9,60.7,63.0,64.5,67.7,69.9,72.3,74.0,74.2,74.2,72.3,70.8,68.8,65.2,62.9,60.0,54.3,50.9,48.3,46.7,44.2,41.9,38.8,38.0,34.4,30.2,27.3,25.5,22.6,21.7,23.0,23.5,27.4,31.5,34.8,36.3,39.4,42.1,41.8,42.3,42.7,43.7,45.8,46.3,48.3,49.8,49.2,49.5,50.8,51.1,51.6,51.7,51.3,51.2,51.1,50.4,50.2,49.7,49.4,49.6,48.3,49.2,53.2,56.8,64.8,68.4,70.7,74.9,81.0,84.7,75.3,88.4,88.7,94.7,102.1,104.8,111.4,114.5,117.6,120.9,126.9,132.2,133.9,133.9,34.2,92.1,56.4,7.5," $480,000"
03102,Hoffman Estates/Streamwood,-9.3,-9.0,-9.1,-9.0,-8.8,-8.0,-7.2,-6.2,-5.2,-3.9,-2.5,-0.7,0.0,2.6,5.5,7.2,8.7,12.6,16.5,18.9,21.2,24.8,27.3,29.5,31.2,35.0,38.5,40.8,43.4,47.3,51.4,54.7,56.3,59.4,62.3,65.2,67.7,70.5,73.4,74.9,75.2,75.5,74.5,73.0,70.0,65.5,60.3,55.4,51.9,45.5,38.3,36.2,33.3,32.0,29.4,25.1,20.0,13.9,12.0,8.9,8.2,5.7,3.9,3.6,3.9,6.6,10.8,14.0,16.9,20.9,23.0,24.4,26.0,27.9,31.4,34.1,35.5,37.4,39.2,40.5,42.2,45.4,48.6,50.8,52.6,55.9,57.3,58.8,59.7,60.4,61.7,61.4,62.4,61.5,62.2,67.1,73.1,82.7,90.2,95.3,100.1,108.1,114.8,116.9,118.3,119.8,124.2,130.4,137.6,147.6,155.0,158.8,161.4,163.0,165.8,166.6,166.6,51.9,157.3,64.2,3.0," $347,250"
03103,Schaumburg,-11.8,-11.2,-11.0,-11.3,-11.1,-10.4,-9.1,-8.5,-7.4,-5.1,-3.0,-1.1,0.0,3.0,5.5,8.0,10.2,14.8,19.7,21.8,23.7,26.4,29.4,32.1,34.3,37.9,41.2,43.0,44.7,47.9,51.3,54.5,56.8,61.8,67.3,70.6,72.7,77.0,79.0,80.7,82.7,82.3,82.0,81.2,78.3,76.6,73.8,71.2,67.7,60.9,53.1,51.5,51.1,49.1,46.3,42.3,40.5,36.3,35.8,32.5,30.9,29.7,27.5,27.9,27.9,29.0,33.5,36.0,38.8,42.8,44.9,47.7,49.2,51.5,55.2,56.3,57.8,61.2,62.6,64.6,66.1,68.2,71.5,73.4,75.1,77.6,79.2,80.7,82.4,82.4,82.1,82.8,82.6,83.0,85.4,89.1,94.3,103.1,108.2,111.9,116.0,122.0,128.0,131.3,133.8,141.3,149.2,156.1,161.3,167.1,172.2,177.8,183.7,185.3,190.6,192.7,192.7,60.2,129.5,60.3,5.3," $420,000"
03104,Mount Prospect/Elk Grove Village,-10.0,-9.6,-9.6,-9.3,-8.9,-8.2,-7.0,-6.7,-6.5,-4.5,-3.1,-1.7,0.0,3.4,7.7,10.1,11.9,16.8,20.6,22.6,24.3,27.3,30.9,33.4,35.4,38.4,40.2,41.7,43.5,46.9,50.8,52.9,55.7,61.7,66.3,71.6,74.1,77.9,81.3,83.0,82.6,81.4,79.9,77.9,75.0,70.7,65.5,61.7,59.8,55.3,51.1,46.1,44.4,42.0,39.5,38.6,36.0,31.1,28.9,25.9,24.8,23.8,23.6,22.6,24.0,27.2,30.9,34.0,36.3,39.9,41.4,43.5,44.5,45.8,48.7,48.8,49.8,51.5,53.3,55.0,55.5,56.2,57.0,57.2,58.3,60.5,59.7,60.4,61.0,59.6,59.7,58.6,58.1,57.1,59.0,63.9,66.4,74.8,79.2,80.9,87.0,91.2,96.2,101.0,103.4,108.9,121.3,125.3,129.3,133.7,132.4,134.7,137.7,138.8,139.1,140.4,140.4,31.4,96.1,52.1,2.4," $467,000"
03105,Arlington Heights/Wheeling,-14.3,-10.6,-9.8,-9.2,-8.3,-8.6,-7.2,-7.5,-7.1,-4.3,-3.1,-0.7,0.0,3.4,6.6,9.3,11.2,14.8,19.2,20.8,22.4,25.7,28.2,30.9,32.8,35.5,39.4,40.8,42.7,46.2,50.2,53.1,55.0,60.1,63.7,67.0,70.1,72.4,77.3,79.7,79.0,80.1,78.5,76.2,76.6,72.4,65.7,61.5,56.8,51.4,47.7,43.8,43.2,39.8,36.9,34.5,32.3,28.0,24.3,21.6,20.0,20.5,21.0,21.9,21.2,23.1,28.2,31.2,35.2,38.4,40.8,42.4,44.2,48.8,50.5,52.2,52.0,53.0,54.7,54.8,55.3,56.7,57.9,59.4,60.4,60.9,60.5,60.6,60.5,59.6,58.9,58.8,58.8,57.8,58.5,61.9,65.7,74.3,79.3,82.2,86.9,94.9,100.4,102.0,107.6,106.5,109.5,112.9,116.8,124.6,132.5,133.6,135.8,140.9,140.5,142.6,142.6,34.7,102.2,52.8,3.9," $475,000"
03106,Winnetka/Northbrook,-15.8,-15.2,-13.7,-13.2,-12.1,-8.9,-6.6,-4.5,-3.8,-2.6,-1.7,-1.1,0.0,2.1,6.0,8.0,9.5,13.0,16.2,17.4,18.5,21.5,22.5,24.5,26.6,28.2,31.5,31.9,33.9,36.9,39.0,41.2,43.7,48.9,57.4,63.0,66.5,71.2,74.1,76.7,77.3,79.0,78.9,78.5,78.6,74.5,70.1,67.6,64.8,57.4,52.8,48.8,46.7,46.8,44.3,43.0,43.3,42.1,41.4,39.1,36.7,35.8,36.6,38.6,39.7,44.0,47.2,49.3,51.3,54.6,58.9,60.8,63.0,63.7,63.1,62.6,61.7,62.6,63.9,64.5,64.6,61.6,60.8,60.1,60.3,60.6,59.5,59.0,57.3,57.4,58.6,58.4,58.4,55.6,55.8,58.7,61.2,68.8,75.5,78.4,84.1,91.4,95.3,91.6,99.9,100.4,100.5,105.0,106.2,109.5,116.5,119.1,121.2,123.5,124.8,125.4,125.4,25.9,66.0,42.3,2.9," $975,000"
03107,Evanston/Skokie,-19.0,-15.9,-15.0,-15.3,-14.5,-12.6,-11.2,-9.0,-7.8,-5.8,-2.2,-1.4,0.0,3.8,7.1,9.6,11.5,15.0,18.3,20.2,22.4,25.1,29.8,33.1,34.8,37.0,38.2,40.2,41.8,46.0,52.5,55.2,57.2,62.5,68.8,73.3,75.9,81.4,83.2,86.0,88.4,85.0,82.6,78.6,75.4,68.3,62.5,58.6,55.4,49.7,43.3,39.2,38.1,34.9,32.7,30.3,27.7,24.7,23.4,22.0,21.2,19.8,18.9,19.6,19.9,24.4,28.3,29.6,33.0,34.9,38.7,40.3,40.9,43.3,44.7,47.0,49.7,51.4,54.0,56.0,55.6,56.5,57.8,58.2,58.8,60.1,60.2,60.5,60.7,60.4,59.0,59.3,59.2,57.4,58.9,63.2,68.8,76.1,82.0,84.7,90.4,98.1,104.1,105.5,107.5,108.3,108.4,112.2,116.0,120.2,122.6,124.7,126.1,127.9,131.9,133.5,133.5,23.9,96.3,46.7,3.9," $535,000"
03108,Park Ridge/Niles,-12.9,-10.6,-10.9,-11.0,-10.1,-9.3,-6.6,-5.2,-4.4,-2.9,-2.0,-0.6,0.0,3.4,7.3,10.3,11.9,15.6,20.2,22.0,23.8,26.2,29.7,32.7,34.5,38.2,41.1,42.0,44.5,47.4,50.7,53.2,57.2,62.6,70.4,76.5,79.8,84.4,86.8,87.5,88.7,88.8,87.0,84.0,79.4,71.7,65.2,59.0,54.7,48.7,42.1,38.3,36.9,34.2,31.9,29.6,25.9,22.6,20.4,18.1,16.2,14.2,14.1,14.8,15.2,19.2,23.3,26.1,29.2,33.1,35.6,37.5,38.1,39.9,42.5,43.4,45.7,47.5,50.1,51.9,53.1,53.4,54.1,54.6,55.9,57.0,58.0,59.0,58.8,59.9,60.5,60.2,60.3,60.1,61.2,65.3,70.6,77.8,82.5,85.9,89.0,94.5,98.7,94.8,103.0,101.3,105.8,109.8,114.0,118.9,124.7,127.5,129.3,134.6,136.9,139.2,139.2,26.7,109.7,49.3,5.2," $447,000"
03109,Elmwood Park/Franklin Park,-15.0,-10.9,-10.2,-10.1,-9.6,-9.1,-9.2,-7.6,-6.5,-4.8,-2.6,-0.8,0.0,3.8,7.8,10.9,13.3,16.8,20.2,22.0,24.1,26.9,30.6,34.8,36.4,40.3,45.0,47.9,51.8,56.9,61.0,65.2,69.1,73.6,80.4,83.5,84.3,88.6,90.2,92.7,95.6,93.9,92.2,88.5,83.2,76.2,65.2,57.9,52.2,41.4,33.8,29.0,25.5,23.3,20.5,15.4,13.2,9.5,6.6,4.5,1.3,-0.2,-1.5,-0.1,1.3,3.0,7.0,9.8,13.0,16.9,20.3,21.8,23.4,25.5,29.0,31.8,33.9,36.6,40.7,41.7,42.2,43.8,46.0,48.5,50.6,53.9,56.0,57.6,59.5,59.2,60.1,60.8,60.3,61.3,62.8,67.6,73.2,80.7,87.8,91.9,98.2,104.3,109.0,107.4,112.0,110.8,115.2,117.9,123.7,128.1,134.2,140.5,138.4,142.2,145.4,146.1,146.1,25.8,149.9,53.5,2.3," $367,000"
03110,Melrose Park/Maywood,-10.0,-9.2,-8.6,-7.8,-8.1,-7.3,-6.4,-6.7,-5.3,-3.6,-2.9,-0.9,0.0,1.8,5.4,7.2,8.4,12.2,15.0,17.4,17.9,20.2,23.1,25.0,28.9,32.0,35.8,39.5,42.3,46.5,50.5,53.7,56.7,60.9,65.3,69.3,72.2,75.9,79.0,81.3,82.0,83.2,81.0,77.2,74.2,65.2,54.0,40.4,34.4,18.2,10.6,6.7,4.0,4.6,2.6,1.3,-2.5,-8.0,-11.5,-14.3,-13.2,-16.6,-18.0,-19.0,-20.2,-18.2,-14.5,-11.2,-9.0,-5.6,-1.9,0.0,2.8,6.4,9.9,14.5,17.7,20.7,24.9,27.3,29.6,32.3,33.5,37.1,39.0,42.6,45.9,47.6,49.4,51.5,53.0,52.8,54.3,55.0,57.2,64.7,68.9,77.4,84.5,90.9,96.8,103.6,107.8,112.7,114.3,111.1,113.9,117.1,118.9,126.9,132.1,132.2,133.7,141.1,142.6,151.9,151.9,37.5,215.8,63.3,8.5," $295,000"
