PumaID,Name,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,Change Peak to Current,Change Peak to Bottom,Change Since 2000,Change Bottom to Current
03523,Chicago--Humboldt Park/Garfield Park,-19.6,-15.0,-8.9,-8.0,-4.9,-2.6,-3.7,-3.6,-1.1,-2.0,-1.2,0.6,0.0,4.3,8.3,12.1,14.8,21.0,22.4,27.6,33.3,38.3,51.4,57.6,62.8,67.4,71.9,79.7,90.7,102.6,108.8,117.5,130.0,138.8,149.1,162.9,168.3,175.1,183.1,183.7,189.0,192.1,188.3,176.9,179.0,163.4,133.9,100.7,72.8,51.3,41.9,35.8,32.0,27.0,21.0,15.5,10.1,4.7,2.3,-3.7,-10.1,-14.7,-15.8,-14.1,-9.3,-4.3,0.1,-1.5,2.0,6.2,15.6,19.9,23.3,27.4,-56.4,27.4,51.2,19.9
03521,Chicago--Austin/Belmont Cragin,-22.5,-17.7,-15.1,-15.1,-13.3,-12.5,-12.5,-11.3,-10.1,-7.6,-5.3,-2.1,0.0,2.3,7.8,10.9,12.3,18.0,21.5,25.4,28.4,32.1,35.9,41.0,44.0,49.5,55.2,58.1,61.9,66.3,73.6,81.0,85.8,93.5,98.4,104.2,109.4,116.1,123.3,126.5,130.2,130.6,127.1,122.5,118.6,111.4,98.4,80.8,65.7,44.9,32.6,27.8,23.1,22.1,19.7,17.9,16.1,11.8,10.0,5.9,3.7,1.5,-1.2,-1.8,-0.3,1.1,6.0,8.6,10.8,14.9,19.3,23.9,29.9,32.7,-42.4,32.7,35.2,15.5
03408,Oak Park/Cicero,-17.2,-14.3,-13.3,-14.0,-13.3,-13.5,-12.8,-11.3,-9.9,-6.4,-4.0,-1.2,0.0,3.6,7.2,10.1,12.4,17.5,21.5,24.5,27.6,31.7,36.0,39.8,42.7,47.8,53.3,57.9,60.7,65.2,70.2,73.6,76.7,83.2,87.8,93.6,96.9,100.6,104.7,105.2,106.0,105.1,102.3,97.9,93.4,82.2,71.5,61.7,50.6,38.2,31.0,28.1,26.2,27.1,24.6,22.8,20.9,16.0,12.6,9.5,7.0,4.4,4.5,3.4,4.9,8.4,11.6,17.3,21.5,28.7,35.4,39.4,42.3,47.2,-28.5,47.2,42.3,14.3
03522,Chicago--Logan Square/Avondale,-29.4,-27.8,-26.4,-27.4,-26.2,-22.5,-19.4,-13.5,-10.8,-6.6,-5.0,-2.3,0.0,5.2,9.9,13.2,16.9,22.3,28.7,34.2,36.9,42.9,48.4,48.6,52.6,54.9,55.2,56.8,62.8,72.8,83.2,90.2,91.1,92.9,100.9,106.3,113.5,120.4,126.4,129.4,131.9,131.5,125.5,122.2,122.9,124.6,125.6,119.2,113.4,99.4,74.3,69.2,62.2,61.6,66.0,66.2,64.4,57.4,54.7,49.3,50.4,53.9,52.6,61.2,62.3,72.2,81.4,86.6,92.7,99.3,110.1,113.9,121.0,126.9,-2.1,126.9,52.0,13.9
03528,Chicago--Englewood/Greater Grand Crossing,-14.7,-14.1,-14.3,-12.9,-10.9,-10.0,-7.1,-5.7,-6.3,-3.5,-3.8,-2.6,0.0,2.3,3.4,5.9,7.8,7.6,12.6,16.0,19.3,24.5,29.2,34.0,35.4,39.8,43.8,48.1,54.6,61.5,73.1,83.9,90.6,100.5,107.8,115.2,122.7,131.3,138.6,141.6,147.4,148.2,146.4,142.3,141.0,130.1,111.9,101.6,75.5,58.9,46.5,37.5,31.7,26.6,23.5,21.2,15.5,11.6,5.8,1.3,0.2,-6.2,-11.5,-15.9,-19.1,-20.8,-19.8,-16.3,-14.3,-11.2,-9.0,-7.9,-5.3,0.4,-59.6,0.4,26.8,13.0
03527,Chicago--Gage Park/West Lawn,-12.1,-10.5,-10.1,-10.1,-9.7,-9.0,-7.8,-6.3,-5.9,-4.3,-2.8,-1.3,0.0,1.7,4.9,8.7,10.8,16.5,20.8,23.9,25.3,28.8,33.9,38.1,42.7,48.5,53.9,59.5,63.6,69.4,76.1,82.0,86.0,92.3,98.5,104.3,108.6,113.7,118.4,119.9,119.3,116.7,112.3,107.7,103.7,95.8,86.0,76.6,67.4,57.0,50.3,47.4,44.3,43.6,40.2,34.8,30.1,24.9,20.9,18.2,18.0,15.1,13.1,13.3,13.6,14.8,19.4,23.1,25.6,28.9,32.8,36.5,39.4,44.7,-34.2,44.7,28.0,12.3
03531,Chicago--Auburn Gresham/Chatham,-20.0,-15.8,-13.5,-12.5,-10.5,-9.0,-8.9,-8.6,-7.6,-4.8,-3.2,-1.1,0.0,1.4,1.4,3.6,5.1,5.5,8.8,10.0,11.4,15.4,18.9,23.0,26.6,28.8,32.2,35.0,40.0,46.9,54.2,61.0,65.2,71.4,75.7,82.1,87.6,91.1,95.4,96.1,99.6,102.7,102.4,98.0,94.5,90.1,82.5,75.9,64.9,53.1,43.0,40.7,35.8,32.1,29.2,24.9,20.5,9.8,5.5,-0.5,-4.3,-5.7,-10.0,-11.5,-11.9,-12.5,-11.2,-10.4,-9.1,-6.0,-1.3,0.8,3.8,3.9,-48.7,3.9,18.7,10.5
03526,Chicago--Bridgeport/Brighton Park,-20.7,-18.1,-14.5,-12.4,-9.4,-7.2,-6.8,-7.8,-6.0,-4.7,-2.9,-0.7,0.0,2.1,6.1,10.7,11.9,14.0,19.8,22.9,25.6,32.4,35.2,43.3,48.1,52.6,62.2,67.5,74.9,86.5,90.8,101.5,106.1,115.3,127.1,136.4,145.7,157.6,166.1,167.5,169.0,160.2,150.2,143.1,143.1,137.8,129.7,124.3,108.8,89.2,79.5,74.1,72.5,69.4,59.2,53.7,40.0,34.9,32.1,24.7,27.8,25.5,27.7,27.7,30.1,29.7,32.8,36.0,38.6,39.7,37.8,43.8,50.2,54.2,-42.7,54.2,23.7,10.3
03520,Chicago--Portage Park/Jefferson Park,-21.0,-16.7,-15.9,-15.8,-14.8,-13.8,-12.3,-10.4,-8.9,-6.6,-4.3,-1.6,0.0,4.3,9.0,13.3,15.6,20.7,25.2,27.5,29.9,33.2,36.9,40.2,42.4,45.5,49.0,53.7,57.5,64.3,71.0,74.8,77.6,81.6,87.6,91.9,95.3,100.0,102.3,103.6,104.1,101.8,100.4,95.3,89.7,82.6,73.5,67.4,63.6,55.2,45.6,39.9,36.8,33.8,30.1,26.7,22.6,16.7,15.0,14.6,12.8,14.6,14.2,13.4,14.4,17.1,21.7,27.5,31.5,37.4,42.7,44.7,47.4,51.2,-25.9,51.2,34.0,10.1
03530,Chicago--Beverly/Morgan Park,-19.0,-14.3,-12.2,-10.8,-8.8,-8.0,-7.0,-5.8,-5.3,-4.2,-2.9,-1.5,0.0,2.1,3.5,4.5,6.0,9.2,11.5,13.6,16.5,19.7,23.7,27.5,29.2,33.2,39.3,41.4,44.3,49.2,52.6,58.9,62.3,68.0,74.1,78.2,83.3,87.4,91.6,95.6,96.7,97.6,94.7,91.6,91.2,83.5,77.1,69.7,61.4,56.0,52.1,51.5,49.0,48.7,44.8,40.3,35.9,29.5,25.4,23.3,19.3,19.2,17.4,16.9,18.2,20.9,23.1,24.1,26.0,27.3,29.7,34.6,35.9,39.7,-29.3,39.7,19.5,9.8
