Puma,p3401,p3407,p3408,p3409,p3410,p3411,p3412,p3413,p3414,p3415,p3416,p3417,p3418,p3419,p3420,p3421,p3422
Quarter,Palatine/Barrington,Melrose Park/Maywood,Cicero/Oak Park,LaGrange/Stickney,Orland Park/Lemont,Oak Lawn/Blue Island,Oak Forest/Country Club Hills,Calumat City/Harvey,Chicago Heights/Flossmoor,Arlington Heights/Prospect Heights,Winnetka/Northbrook,Hanover/Hoffman Estates,Schaumburg,Mount Prospect/Elk Grove Village,Park Ridge/Des Plaines,Evanston/Skokie,Rosemont/Elmwood Park
1997Q1,88.5,90.5,82.8,84.8,92.4,92.7,93.1,91.2,90.1,85.8,84.1,90.9,88.3,89.9,85.5,83,85.7
1997Q2,88.1,90,85.7,88.1,92,92.7,94.6,92.7,93.9,89.3,84.7,91.3,88.8,90.3,87.5,85.5,89.5
1997Q3,88.7,90.1,86.6,89.9,93.8,93.6,95.4,93,93.9,90.1,86.2,91,89,90.3,87.6,86.1,90.3
1997Q4,88.4,91.2,86,91,94.2,94.1,95.4,93.2,94.1,90.7,86.7,91.2,88.7,90.7,87.5,86,90.4
1998Q1,88.8,90.6,86.7,91.7,94.5,94.4,95.8,93.5,95,91.6,87.7,91.4,88.9,91.1,88.2,86.5,90.8
1998Q2,89.7,91.6,86.6,92.4,95.5,95,96.1,94,94.5,91.2,90.9,92.2,89.6,91.9,89.3,88.2,91.3
1998Q3,91.3,92.7,87.2,94.2,95.5,95.9,95.9,94.9,96.7,92.6,93.1,93,90.9,93.1,91.5,89.6,91.6
1998Q4,93.2,92.4,88.7,95.7,97.1,97.1,96.9,95.5,97.4,92.3,95.2,94,91.5,93.5,93.1,91.5,93.1
1999Q1,93.7,93.9,90.1,96.5,97.7,97.9,95.5,96.3,98.3,92.7,95.9,95.1,92.6,93.6,93.9,92.5,94.1
1999Q2,96.5,95.8,93.6,98.8,97.9,99.9,96.8,96.7,98.9,95.6,97.2,96.2,94.9,95.6,95.7,94.6,95.6
1999Q3,97.8,96.8,96,98.5,99.1,100.5,98.2,97.6,99.2,96.8,98.1,97.5,97,97,97.4,97.8,97.1
1999Q4,99.2,98.9,98.8,98.7,99.4,100.1,98.6,98.8,99.2,99.2,98.8,99.3,98.9,98.3,99.1,98.4,99.1
2000Q1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2000Q2,101.9,102.3,103.7,102.3,103.1,101.3,101.5,102,101.6,103.4,102.1,102.6,103,103.4,103.6,104,103.7
2000Q3,105.5,105.8,107.2,104.2,105,102.8,103.3,103.8,103.1,106.6,106.1,105.6,105.6,107.9,107.2,107.4,108
2000Q4,106.6,107.3,110.1,105.6,106.2,105.8,105.5,105.5,105,109.2,108,107.3,108,110.2,110.1,110.1,111.2
2001Q1,107.8,108.5,112.4,106,108.3,107.6,108,105.7,105,111.1,109.5,108.8,110.2,112.1,111.9,111.8,113.5
2001Q2,111.1,112.9,117.5,109.7,111.5,109.3,110.2,107.1,107.5,114.8,113.1,112.7,114.8,117,115.3,115,117.5
2001Q3,114.6,116.2,121.5,112.2,114,111.3,111.8,108.7,108.7,119.2,116.2,116.6,119.6,120.6,119,118.7,120.8
2001Q4,117.7,118.5,124.5,113.7,116.4,112.7,113.1,109.4,109.4,120.8,117.5,119,121.8,122.6,120.8,120.7,122.7
2002Q1,119.2,119.9,127.6,114.9,118.1,113,113.3,110.8,111.1,122.3,118.5,121.4,123.6,124.2,122.3,123.1,125.3
2002Q2,122.3,122.6,131.7,116.7,120.4,116.7,116.2,112.3,111.3,125.6,121.6,124.9,126.4,127.1,124.9,125.9,128.5
2002Q3,124.5,126.7,136,119.8,123.9,120.5,118.1,114,113.6,128.2,122.6,127.3,129.3,130.7,128.6,130.5,132.8
2002Q4,126,128.9,139.8,122.6,126.5,122.2,119.7,115.7,115.3,130.9,124.7,129.5,132,133.1,131.4,133.8,136.9
2003Q1,128.1,132.5,142.8,125,128.5,125.5,121.4,117.3,117,132.9,126.8,131.2,134.3,135.1,133.7,135.2,138.3
2003Q2,131.1,135.3,147.8,129.2,133.1,128.6,124.5,119.3,119.3,135.6,128.5,135,137.8,138.1,137.6,137.5,142
2003Q3,134.6,138.8,153.3,132.8,136.4,132.3,128.8,120.7,121.6,139.5,131.8,138.5,141.2,139.9,140.6,138.9,146.6
2003Q4,136.5,142.2,157.9,136.1,138.6,135.5,131.6,123,123,141,132.2,140.8,142.9,141.4,142.6,140.5,149.5
2004Q1,139.1,144.7,160.7,138.5,141.4,137.4,133.8,124.9,124.7,142.7,134.2,143.4,144.7,143.3,144.9,142.1,153.4
2004Q2,143.7,148.5,165.2,142.5,145.3,142,137.7,128.1,128.4,146.4,137.3,147.2,147.9,146.7,147.7,146.7,158.5
2004Q3,147.8,152.4,170.2,147.8,150.1,145.2,142.1,131.4,131.9,150.4,139.7,151.3,151.3,150.6,151.5,152.5,162.7
2004Q4,150.4,155.3,173.6,150.7,154.7,149.9,145.1,134.8,135,153.1,141.9,154.5,154.6,152.7,154.4,155,167.2
2005Q1,152.7,159.1,176.7,153.5,157.3,152.6,147.9,138.3,137.7,155.3,144.5,156.1,157,155.5,158.4,157.9,170.8
2005Q2,156.9,164.5,183.2,157.4,161.9,156.5,151.5,141.7,140.3,160.5,149.7,159.2,162.1,161.7,165.2,162.4,175.5
2005Q3,160.7,169.4,187.9,161.3,168.4,162.1,157,145.7,143.5,164.2,158.2,161.9,167.7,166.5,173.6,168.9,182
2005Q4,163,173.9,193.7,166.2,172.2,164.6,160.7,148.5,146.2,167.7,163.6,164.6,171,172,179.4,173.6,185.6
2006Q1,164.5,175.9,197,169.8,175.1,167.6,164.4,151.2,149.2,170.7,167.1,167,173.1,174.5,182.7,176.2,187.2
2006Q2,167.6,179.5,200.7,174.1,180.3,171.2,167.3,155,153,172.9,171.8,169.7,177.5,178.5,186.4,181.8,191.4
2006Q3,169.9,182.3,204.9,177.6,182.1,174.2,170,158.8,155,177.9,174.5,172.5,179.5,181.9,188.3,184.7,193
2006Q4,172.4,184.5,205.4,178.9,185.4,177.2,172.7,161,157.6,180.2,177.1,174.1,181.1,183.5,189.1,187,195
2007Q1,174.2,185.8,206.1,181.2,186.5,178.2,174.9,162.5,159,179.7,177.5,174.4,183.1,183,189.6,189.4,197.2
2007Q2,174.2,187.2,205.3,181.9,186.9,179.5,177.5,163,160.6,181,179.2,174.7,182.7,181.7,189.4,187.3,195.5
2007Q3,174.2,185.3,202.5,181.9,186.6,178.1,176.2,160.5,161.7,179.6,179.1,173.6,182.4,179.9,186.6,185,194.3
2007Q4,172.3,180.8,198.2,179.4,184.6,175.4,173.4,156.1,158.5,177.5,178.7,172,181.6,177.9,182.5,181.5,191.7
2008Q1,170.6,178.4,193.8,175.2,183.4,173.5,170.5,151.5,156.3,177.8,178.8,169,178.7,175.1,178.5,178.6,186.3
2008Q2,168.6,170.8,182.6,169,177.9,169.3,163.3,144.1,149.2,173.6,174.7,164.4,177.1,170.8,170.5,171.3,179
2008Q3,165,162.3,171.8,163.4,174.4,164.3,154.6,133.4,141.2,166.7,170.5,159.3,174.2,166,164.9,165.4,166.9
2008Q4,162.8,154.1,162.1,161.1,170.9,156.9,148.9,124.9,134.4,162.4,167.9,154.5,171.7,162.1,160.4,160.6,158.2
2009Q1,159.9,149.3,150.9,157.8,167.8,150.5,143.2,115.6,124.7,157.7,165,151.1,168.2,159.9,156,156.5,152.8
2009Q2,154.1,137,138.4,149.7,165.3,141.6,136.5,104.4,117.9,152.4,157.5,144.7,161.3,155.2,149.8,150.2,141.9
2009Q3,150.6,130,131.3,142.7,160.6,133.6,132.1,97.4,109.9,148.7,152.7,137.5,153.5,150.8,143.5,143,134.2
2009Q4,147.9,125.8,128.3,138.8,158.1,134.4,130.9,94.2,106.8,144.9,148.5,135.4,152,145.9,140.3,138.6,129.2
